universal_concept_id,source_ref_id,standardized_domain,target_age_nominal_months,age_window_min_days,age_window_max_days,description_en,description_pt,statistical_threshold,is_red_flag,risk_factor_dependency
MOTOR_GROSS-POSTURE_LEGS_AND_ARMS_FLEXED_HEAD_TURNED,BR_0_1M_MOT_1,MOTOR_GROSS,0.5,0,30,"Posture: legs and arms flexed, head turned to the side","Postura: pernas e braços fletidos, cabeça lateralizada",P25_90,FALSE,
SOCIAL-LOOKS_AT_A_FACE,BR_0_1M_SOC_2,SOCIAL_EMOTIONAL,0.5,0,30,Looks at a face,Observa um rosto,P25_90,FALSE,
SENSORY-REACTS_TO_SOUND,BR_0_1M_SEN_3,SENSORY,0.5,0,30,Reacts to sound,Reage ao som,P25_90,FALSE,
MOTOR_GROSS-LIFTS_HEAD,BR_0_1M_MOT_4,MOTOR_GROSS,0.5,0,30,Lifts head,Eleva a cabeça,P25_90,FALSE,
SOCIAL-SMILES_WHEN_STIMULATED,BR_1_2M_SOC_1,SOCIAL_EMOTIONAL,1.5,30,61,Smiles when stimulated,Sorri quando estimulada,P25_90,FALSE,
MOTF-OPENS_HANDS,BR_1_2M_MOTF_2,MOTOR_FINE,1.5,30,61,Opens hands,Abre as mãos,P25_90,FALSE,
COMM-MAKES_SOUNDS,BR_1_2M_COM_3,COMMUNICATION,1.5,30,61,Makes sounds,Emite sons,P25_90,FALSE,
MOTOR_GROSS-MOVES_LIMBS,BR_1_2M_MOT_4,MOTOR_GROSS,1.5,30,61,Moves limbs,Movimenta os membros,P25_90,FALSE,
SOCIAL-RESPONDS_ACTIVELY_TO_SOCIAL_CONTACT,BR_2_4M_SOC_1,SOCIAL_EMOTIONAL,3.0,61,122,Responds actively to social contact,Responde ativamente ao contato social,P25_90,FALSE,
MOTF-HOLDS_OBJECTS,BR_2_4M_MOTF_2,MOTOR_FINE,3.0,61,122,Holds objects,Segura objetos,P25_90,FALSE,
COMM-MAKES_SOUNDS_LAUGHS_OUT_LOUD,BR_2_4M_COM_3,COMMUNICATION,3.0,61,122,"Makes sounds, laughs out loud","Emite sons, ri alto",P25_90,FALSE,
MOTOR_GROSS-LIFTS_HEAD_AND_SUPPORTS_ON_FOREARMS_WHEN,BR_2_4M_MOT_4,MOTOR_GROSS,3.0,61,122,Lifts head and supports on forearms when prone,"Levanta a cabeça e apoia-se nos antebraços, de bruços",P25_90,FALSE,
COGNITIVE-ACTIVELY_SEEKS_OBJECTS,BR_4_6M_COG_1,COGNITIVE,5.0,122,183,Actively seeks objects,Busca ativa de objetos,P25_90,FALSE,
MOTF-BRINGS_OBJECTS_TO_THE_MOUTH,BR_4_6M_MOTF_2,MOTOR_FINE,5.0,122,183,Brings objects to the mouth,Leva objetos à boca,P25_90,FALSE,
SENSORY-LOCATES_SOUND,BR_4_6M_SEN_3,SENSORY,5.0,122,183,Locates sound,Localiza o som,P25_90,FALSE,
MOTOR_GROSS-CHANGES_POSITION_ROLLS,BR_4_6M_MOT_4,MOTOR_GROSS,5.0,122,183,Changes position (rolls),Muda de posição (rola),P25_90,FALSE,
SOCIAL-PLAYS_PEEKABOO,BR_6_9M_SOC_1,SOCIAL_EMOTIONAL,7.5,183,274,Plays peekaboo,Brinca de esconde-achou,P25_90,FALSE,
MOTF-TRANSFERS_OBJECTS_FROM_ONE_HAND_TO_THE_O,BR_6_9M_MOTF_2,MOTOR_FINE,7.5,183,274,Transfers objects from one hand to the other,Transfere objetos de uma mão para outra,P25_90,FALSE,
COMM-REDUPLICATES_SYLLABLES,BR_6_9M_COM_3,COMMUNICATION,7.5,183,274,Reduplicates syllables,Duplica sílabas,P25_90,FALSE,
MOTOR_GROSS-SITS_WITHOUT_SUPPORT,BR_6_9M_MOT_4,MOTOR_GROSS,7.5,183,274,Sits without support,Senta-se sem apoio,P25_90,FALSE,
SOCIAL-IMITATES_GESTURES,BR_9_12M_SOC_1,SOCIAL_EMOTIONAL,10.5,274,365,Imitates gestures,Imita gestos,P25_90,FALSE,
MOTF-USES_A_PINCER_GRASP,BR_9_12M_MOTF_2,MOTOR_FINE,10.5,274,365,Uses a pincer grasp,Faz pinça,P25_90,FALSE,
COMM-PRODUCES_JARGON,BR_9_12M_COM_3,COMMUNICATION,10.5,274,365,"Produces ""jargon""","Produz ""jargão""",P25_90,FALSE,
MOTOR_GROSS-SITS_WITHOUT_SUPPORT,BR_9_12M_MOT_4,MOTOR_GROSS,10.5,274,365,Walks with support,Anda com apoio,P25_90,FALSE,
COMM-SHOWS_WHAT_THEY_WANT,BR_12_15M_COM_1,COMMUNICATION,13.5,365,457,Shows what they want,Mostra o que quer,P25_90,FALSE,
MOTF-PUTS_BLOCKS_INTO_A_CUP,BR_12_15M_MOTF_2,MOTOR_FINE,13.5,365,457,Puts blocks into a cup,Coloca blocos na caneca,P25_90,FALSE,
COMM-SAYS_ONE_WORD,BR_12_15M_COM_3,COMMUNICATION,13.5,365,457,Says one word,Diz uma palavra,P25_90,FALSE,
MOTOR_GROSS-SITS_WITHOUT_SUPPORT,BR_12_15M_MOT_4,MOTOR_GROSS,13.5,365,457,Walks without support,Anda sem apoio,P25_90,FALSE,
MOTF-USES_SPOON_OR_FORK,BR_15_18M_MOTF_1,MOTOR_FINE,16.5,457,548,Uses spoon or fork,Usa colher ou garfo,P25_90,FALSE,
MOTF-BUILDS_A_TOWER_OF_2_CUBES,BR_15_18M_MOTF_2,MOTOR_FINE,16.5,457,548,Builds a tower of 2 cubes,Constrói torre de 2 cubos,P25_90,FALSE,
COMM-SAYS_ONE_WORD,BR_15_18M_COM_3,COMMUNICATION,16.5,457,548,Says 3 words,Fala 3 palavras,P25_90,FALSE,
MOTOR_GROSS-WALKS_BACKWARDS,BR_15_18M_MOT_4,MOTOR_GROSS,16.5,457,548,Walks backwards,Anda para trás,P25_90,FALSE,
MOTF-TAKES_OFF_CLOTHES,BR_18_24M_MOTF_1,MOTOR_FINE,21.0,548,731,Takes off clothes,Tira roupa,P25_90,FALSE,
MOTF-BUILDS_A_TOWER_OF_2_CUBES,BR_18_24M_MOTF_2,MOTOR_FINE,21.0,548,731,Builds a tower of 3 cubes,Constrói torre de 3 cubos,P25_90,FALSE,
COMM-POINTS_TO_2_PICTURES,BR_18_24M_COM_3,COMMUNICATION,21.0,548,731,Points to 2 pictures,Aponta 2 figuras,P25_90,FALSE,
MOTOR_GROSS-KICKS_A_BALL,BR_18_24M_MOT_4,MOTOR_GROSS,21.0,548,731,Kicks a ball,Chuta bola,P25_90,FALSE,
MOTF-DRESSES_WITH_SUPERVISION,BR_24_30M_MOTF_1,MOTOR_FINE,27.0,731,913,Dresses with supervision,Veste-se com supervisão,P25_90,FALSE,
MOTF-BUILDS_A_TOWER_OF_2_CUBES,BR_24_30M_MOTF_2,MOTOR_FINE,27.0,731,913,Builds a tower of 6 cubes,Constrói torre de 6 cubos,P25_90,FALSE,
COMM-TWOWORD_PHRASES,BR_24_30M_COM_3,COMMUNICATION,27.0,731,913,Two-word phrases,Frases com 2 palavras,P25_90,FALSE,
MOTOR_GROSS-JUMPS_WITH_BOTH_FEET,BR_24_30M_MOT_4,MOTOR_GROSS,27.0,731,913,Jumps with both feet,Pula com ambos os pés,P25_90,FALSE,
SOCIAL-PLAYS_WITH_OTHER_CHILDREN,BR_30_36M_SOC_1,SOCIAL_EMOTIONAL,33.0,913,1096,Plays with other children,Brinca com outras crianças,P25_90,FALSE,
MOTF-IMITATES_DRAWING_A_LINE,BR_30_36M_MOTF_2,MOTOR_FINE,33.0,913,1096,Imitates drawing a line,Imita o desenho de uma linha,P25_90,FALSE,
COGNITIVE-RECOGNIZES_2_ACTIONS,BR_30_36M_COG_3,COGNITIVE,33.0,913,1096,Recognizes 2 actions,Reconhece 2 ações,P25_90,FALSE,
MOTOR_GROSS-THROWS_A_BALL,BR_30_36M_MOT_4,MOTOR_GROSS,33.0,913,1096,Throws a ball,Arremessa bola,P25_90,FALSE,
MOTF-PUTS_ON_A_TSHIRT,BR_36_42M_MOTF_1,MOTOR_FINE,39.0,1096,1278,Puts on a T-shirt,Veste uma camiseta,P25_90,FALSE,
MOTF-MOVES_THE_THUMB_WITH_THE_HAND_CLOSED,BR_36_42M_MOTF_2,MOTOR_FINE,39.0,1096,1278,Moves the thumb with the hand closed,Move o polegar com a mão fechada,P25_90,FALSE,
COMM-UNDERSTANDS_2_ADJECTIVES,BR_36_42M_COM_3,COMMUNICATION,39.0,1096,1278,Understands 2 adjectives,Compreende 2 adjetivos,P25_90,FALSE,
MOTOR_GROSS-BALANCES_ON_EACH_FOOT_FOR_1_SECOND,BR_36_42M_MOT_4,MOTOR_GROSS,39.0,1096,1278,Balances on each foot for 1 second,Equilibra-se em cada pé 1 segundo,P25_90,FALSE,
COGNITIVE-MATCHES_COLORS,BR_42_48M_COG_1,COGNITIVE,45.0,1278,1461,Matches colors,Emparelha cores,P25_90,FALSE,
MOTF-COPIES_CIRCLES,BR_42_48M_MOTF_2,MOTOR_FINE,45.0,1278,1461,Copies circles,Copia círculos,P25_90,FALSE,
COMM-SPEAKS_CLEARLY_AND_UNDERSTANDABLY,BR_42_48M_COM_3,COMMUNICATION,45.0,1278,1461,Speaks clearly and understandably,Fala clara e compreensível,P25_90,FALSE,
MOTOR_GROSS-HOPS_ON_ONE_FOOT,BR_42_48M_MOT_4,MOTOR_GROSS,45.0,1278,1461,Hops on one foot,Pula em um pé só,P25_90,FALSE,
MOTF-DRESSES_WITHOUT_HELP,BR_48_54M_MOTF_1,MOTOR_FINE,51.0,1461,1644,Dresses without help,Veste-se sem ajuda,P25_90,FALSE,
MOTF-COPIES_CIRCLES,BR_48_54M_MOTF_2,MOTOR_FINE,51.0,1461,1644,Copies a cross,Copia cruz,P25_90,FALSE,
COMM-UNDERSTANDS_4_PREPOSITIONS,BR_48_54M_COM_3,COMMUNICATION,51.0,1461,1644,Understands 4 prepositions,Compreende 4 preposições,P25_90,FALSE,
MOTOR_GROSS-BALANCES_ON_EACH_FOOT_FOR_1_SECOND,BR_48_54M_MOT_4,MOTOR_GROSS,51.0,1461,1644,Balances on each foot for 3 seconds,Equilibra-se em cada pé 3 segundos,P25_90,FALSE,
MOTF-DRESSES_WITHOUT_HELP,BR_54_60M_MOTF_1,MOTOR_FINE,57.0,1644,1826,Brushes teeth without help,Escova dentes sem ajuda,P25_90,FALSE,
COGNITIVE-POINTS_TO_THE_LONGEST_LINE,BR_54_60M_COG_2,COGNITIVE,57.0,1644,1826,Points to the longest line,Aponta a linha mais comprida,P25_90,FALSE,
COMM-DEFINES_5_WORDS,BR_54_60M_COM_3,COMMUNICATION,57.0,1644,1826,Defines 5 words,Define 5 palavras,P25_90,FALSE,
MOTOR_GROSS-BALANCES_ON_EACH_FOOT_FOR_1_SECOND,BR_54_60M_MOT_4,MOTOR_GROSS,57.0,1644,1826,Balances on each foot for 5 seconds,Equilibra-se em cada pé 5 segundos,P25_90,FALSE,
SOCIAL-PLAYS_WITH_OTHER_CHILDREN,BR_60_66M_SOC_1,SOCIAL_EMOTIONAL,63.0,1826,2009,Engages in pretend play with other children,Brinca de fazer de conta com outras crianças,P25_90,FALSE,
MOTF-DRAWS_A_PERSON_WITH_6_PARTS,BR_60_66M_MOTF_2,MOTOR_FINE,63.0,1826,2009,Draws a person with 6 parts,Desenha pessoa com 6 partes,P25_90,FALSE,
COGNITIVE-MAKES_AN_ANALOGY,BR_60_66M_COG_3,COGNITIVE,63.0,1826,2009,Makes an analogy,Faz analogia,P25_90,FALSE,
MOTOR_GROSS-WALKS_HEELTOTOE,BR_60_66M_MOT_4,MOTOR_GROSS,63.0,1826,2009,Walks heel-to-toe,Marcha ponta-calcanhar,P25_90,FALSE,
SOCIAL-ACCEPTS_AND_FOLLOWS_RULES_IN_BOARD_GAMES,BR_66_72M_SOC_1,SOCIAL_EMOTIONAL,69.0,2009,2192,Accepts and follows rules in board games,Aceita e segue regras nos jogos de mesa,P25_90,FALSE,
MOTF-COPIES_A_SQUARE,BR_66_72M_MOTF_2,MOTOR_FINE,69.0,2009,2192,Copies a square,Copia um quadrado,P25_90,FALSE,
COMM-DEFINES_5_WORDS,BR_66_72M_COM_3,COMMUNICATION,69.0,2009,2192,Defines 7 words,Define 7 palavras,P25_90,FALSE,
MOTOR_GROSS-BALANCES_ON_EACH_FOOT_FOR_1_SECOND,BR_66_72M_MOT_4,MOTOR_GROSS,69.0,2009,2192,Balances on each foot for 7 seconds,Equilibra-se em cada pé por 7 segundos,P25_90,FALSE,
