universal_concept_id,source_ref_id,standardized_domain,target_age_nominal_months,age_window_min_days,age_window_max_days,description_en,description_pt,statistical_threshold,is_red_flag,risk_factor_dependency
SOCIAL-CALMS_DOWN_WHEN_SPOKEN_TO_OR_PICKED_UP,CDC_2M_SOC_1,SOCIAL_EMOTIONAL,2.0,45,75,Calms down when spoken to or picked up,Acalma-se quando falam com ela ou a pegam no colo,P75,FALSE,
SOCIAL-LOOKS_AT_A_FACE,CDC_2M_SOC_2,SOCIAL_EMOTIONAL,2.0,45,75,Looks at your face,Olha para o seu rosto,P75,FALSE,
SOCIAL-SEEMS_HAPPY_TO_SEE_YOU_WHEN_YOU_WALK_UP_,CDC_2M_SOC_3,SOCIAL_EMOTIONAL,2.0,45,75,Seems happy to see you when you walk up to her,Parece feliz ao vê-la quando você se aproxima,P75,FALSE,
SOCIAL-SMILES_WHEN_YOU_TALK_TO_OR_SMILE_AT_HER,CDC_2M_SOC_4,SOCIAL_EMOTIONAL,2.0,45,75,Smiles when you talk to or smile at her,Sorri quando você fala ou sorri para ela,P75,FALSE,
COMM-MAKES_SOUNDS_OTHER_THAN_CRYING,CDC_2M_COM_1,COMMUNICATION,2.0,45,75,Makes sounds other than crying,Faz sons além do choro,P75,FALSE,
COMM-REACTS_TO_LOUD_SOUNDS,CDC_2M_COM_2,COMMUNICATION,2.0,45,75,Reacts to loud sounds,Reage a sons altos,P75,FALSE,
COGNITIVE-WATCHES_YOU_AS_YOU_MOVE,CDC_2M_COG_1,COGNITIVE,2.0,45,75,Watches you as you move,Observa você enquanto se move,P75,FALSE,
COGNITIVE-LOOKS_AT_A_TOY_FOR_SEVERAL_SECONDS,CDC_2M_COG_2,COGNITIVE,2.0,45,75,Looks at a toy for several seconds,Olha para um brinquedo por vários segundos,P75,FALSE,
MOTOR_GROSS-HOLDS_HEAD_UP_WHEN_ON_TUMMY,CDC_2M_MOT_1,MOTOR_GROSS,2.0,45,75,Holds head up when on tummy,Mantém a cabeça erguida quando está de bruços,P75,FALSE,
MOTOR_GROSS-MOVES_BOTH_ARMS_AND_BOTH_LEGS,CDC_2M_MOT_2,MOTOR_GROSS,2.0,45,75,Moves both arms and both legs,Move ambos os braços e ambas as pernas,P75,FALSE,
MOTF-OPENS_HANDS,CDC_2M_MOTF_1,MOTOR_FINE,2.0,45,75,Opens hands briefly,Abre as mãos brevemente,P75,FALSE,
SOCIAL-SMILES_ON_HIS_OWN_TO_GET_YOUR_ATTENTION,CDC_4M_SOC_1,SOCIAL_EMOTIONAL,4.0,105,135,Smiles on his own to get your attention,Sorri sozinho para chamar sua atenção,P75,FALSE,
SOCIAL-CHUCKLES_NOT_YET_A_FULL_LAUGH_WHEN_YOU_T,CDC_4M_SOC_2,SOCIAL_EMOTIONAL,4.0,105,135,Chuckles (not yet a full laugh) when you try to make him laugh,Dá risadinhas (ainda não uma risada completa) quando você tenta fazê-lo rir,P75,FALSE,
SOCIAL-LOOKS_AT_YOU_MOVES_OR_MAKES_SOUNDS_TO_GE,CDC_4M_SOC_3,SOCIAL_EMOTIONAL,4.0,105,135,"Looks at you, moves, or makes sounds to get or keep your attention","Olha para você, movimenta-se ou faz sons para chamar ou manter sua atenção",P75,FALSE,
COMM-MAKES_SOUNDS_LIKE_OOOO_AAHH_COOING,CDC_4M_COM_1,COMMUNICATION,4.0,105,135,"Makes sounds like “oooo”, “aahh” (cooing)","Faz sons como “oooo”, “aahh” (arrulhar)",P75,FALSE,
COMM-MAKES_SOUNDS_BACK_WHEN_YOU_TALK_TO_HIM,CDC_4M_COM_2,COMMUNICATION,4.0,105,135,Makes sounds back when you talk to him,Responde com sons quando você fala com ele,P75,FALSE,
COMM-TURNS_HEAD_TOWARDS_THE_SOUND_OF_YOUR_VOI,CDC_4M_COM_3,COMMUNICATION,4.0,105,135,Turns head towards the sound of your voice,Vira a cabeça em direção ao som da sua voz,P75,FALSE,
COGNITIVE-IF_HUNGRY_OPENS_MOUTH_WHEN_HE_SEES_BREAS,CDC_4M_COG_1,COGNITIVE,4.0,105,135,"If hungry, opens mouth when he sees breast or bottle","Se estiver com fome, abre a boca quando vê o seio ou a mamadeira",P75,FALSE,
COGNITIVE-LOOKS_AT_HER_HANDS_WITH_INTEREST,CDC_4M_COG_2,COGNITIVE,4.0,105,135,Looks at her hands with interest,Olha para as próprias mãos com interesse,P75,FALSE,
