key,description,min_age_months,max_age_months
reflexo-moro,"Reflexo de Moro (abre os braços ao susto/queda)",0,0
postura-fletida,"Postura fletida de recém-nascido (pernas e braços juntos)",0,0
observa-rosto,"Observa o rosto de quem fala com ele/ela",1,3
sinais-conforto-desconforto,"Demonstra conforto (relaxa/sorri) e desconforto (chora)",1,3
fixa-olhar,"Fixa o olhar em pessoas ou objetos",1,4
levanta-cabeca-brucos,"De bruços, eleva a cabeça",1,3
sorri-espontaneamente,"Sorri espontaneamente",2,4
diferencia-dia-noite,"Começa a diferenciar dia e noite",2,4
leva-linha-media,"Leva mãos/posição à linha média",2,5
sustenta-cabeca-brucos,"De bruços, sustenta a cabeça em apoio no antebraço",2,5
balbucia,"Emite sons / balbucia",2,5
ajuda-ativamente,"Ajuda ativamente quando apoiado (não fica passivo)",3,6
rola-supino-prono,"Rola da posição supina para prona",4,7
ajuda-levantar-sentar,"Ajuda a levantar-se quando segurado pelas mãos",4,7
reage-som,"Vira a cabeça em direção a sons/barulhos",4,9
responde-chamado,"Reconhece quando é chamado(a)",6,9
senta-sem-apoio,"Senta sem apoio",6,10
transfere-objetos,"Transfere objetos de uma mão para outra",6,10
diferencia-conhecidos-estranhos,"Responde diferente a familiares e estranhos",7,11
imita-sons-gestos,"Imita sons e gestos simples",7,12
engatinha,"Engatinha",7,13
pega-polegar,"Pega objetos com o polegar",10,15
fala-uma-palavra,"Fala uma palavra com sentido (ex.: mamãe)",10,15
usa-gestos,"Faz gestos (acena, dá tchau)",10,15
anda-sozinho,"Anda sozinho(a), raramente cai",10,15
tira-peca-roupa,"Tira uma peça de roupa",13,21
combina-palavras,"Combina 2-3 palavras",13,24
afasta-andando,"Afasta-se andando com autonomia",13,24
alimenta-maos,"Alimenta-se com as mãos",13,24
corre-sobe-degraus,"Corre; sobe degraus",14,24
aceita-outras-criancas,"Aceita/acompanha outras crianças",21,36
diz-proprio-nome,"Diz o próprio nome",21,36
veste-com-ajuda,"Veste-se com ajuda",21,48
fica-um-pe,"Fica em um pé só",21,48
usa-frases,"Usa frases",21,48
inicia-controle-esfincteriano,"Inicia controle esfincteriano",21,48
nomeia-duas-cores,"Reconhece/nomina duas cores",24,48
pula-um-pe,"Pula com um pé",24,60
brinca-outras-criancas,"Brinca com outras crianças",24,48
imita-atividades-diarias,"Imita atividades do dia a dia",24,60
veste-sozinho,"Veste-se sozinho(a)",36,60
pula-alternando-pes,"Pula alternando os pés",36,72
alterna-cooperacao-agressividade,"Alterna cooperação e agressividade",36,72
expressa-preferencias,"Expressa preferências e ideias próprias",36,72
