days,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231,26.15,27.75,29.14,30.46,31.83,33.33,35.07
232,26.27,27.86,29.24,30.55,31.92,33.41,35.14
233,26.38,27.96,29.34,30.64,32.00,33.48,35.20
234,26.49,28.07,29.44,30.73,32.08,33.55,35.27
235,26.61,28.17,29.53,30.82,32.16,33.63,35.33
236,26.71,28.27,29.62,30.91,32.24,33.70,35.39
237,26.82,28.37,29.72,30.99,32.32,33.77,35.45
238,26.93,28.47,29.81,31.08,32.39,33.84,35.51
239,27.04,28.57,29.90,31.16,32.47,33.90,35.57
240,27.14,28.66,29.99,31.24,32.55,33.97,35.63
241,27.24,28.76,30.07,31.32,32.62,34.04,35.69
242,27.34,28.85,30.16,31.40,32.69,34.11,35.75
243,27.44,28.94,30.25,31.48,32.77,34.17,35.80
244,27.54,29.03,30.33,31.56,32.84,34.23,35.86
245,27.63,29.12,30.41,31.64,32.91,34.30,35.91
246,27.73,29.21,30.49,31.71,32.98,34.36,35.97
247,27.82,29.29,30.57,31.79,33.04,34.42,36.02
248,27.92,29.38,30.65,31.86,33.11,34.48,36.08
249,28.01,29.46,30.73,31.93,33.18,34.54,36.13
250,28.10,29.55,30.81,32.00,33.24,34.60,36.18
251,28.19,29.63,30.88,32.07,33.31,34.66,36.23
252,28.27,29.71,30.96,32.14,33.37,34.72,36.28
253,28.36,29.79,31.03,32.21,33.44,34.78,36.33
254,28.44,29.87,31.11,32.28,33.50,34.83,36.38
255,28.53,29.94,31.18,32.35,33.56,34.89,36.43
256,28.61,30.02,31.25,32.41,33.62,34.94,36.48
257,28.69,30.10,31.32,32.48,33.68,35.00,36.53
258,28.77,30.17,31.39,32.54,33.74,35.05,36.58
259,28.85,30.24,31.46,32.61,33.80,35.11,36.62
260,28.93,30.32,31.52,32.67,33.86,35.16,36.67
261,29.01,30.39,31.59,32.73,33.91,35.21,36.71
262,29.08,30.46,31.66,32.79,33.97,35.26,36.76
263,29.16,30.53,31.72,32.85,34.03,35.31,36.80
264,29.23,30.60,31.78,32.91,34.08,35.36,36.85
265,29.30,30.66,31.85,32.97,34.13,35.41,36.89
266,29.37,30.73,31.91,33.03,34.19,35.46,36.93
267,29.45,30.80,31.97,33.08,34.24,35.51,36.98
268,29.52,30.86,32.03,33.14,34.29,35.55,37.02
269,29.58,30.92,32.09,33.20,34.34,35.60,37.06
270,29.65,30.99,32.15,33.25,34.39,35.65,37.10
271,29.72,31.05,32.21,33.30,34.44,35.69,37.14
272,29.79,31.11,32.27,33.36,34.49,35.74,37.18
273,29.85,31.17,32.32,33.41,34.54,35.78,37.22
274,29.92,31.23,32.38,33.46,34.59,35.82,37.26
275,29.98,31.29,32.43,33.51,34.64,35.87,37.29
276,30.04,31.35,32.49,33.56,34.68,35.91,37.33
277,30.10,31.41,32.54,33.61,34.73,35.95,37.37
278,30.17,31.46,32.59,33.66,34.78,35.99,37.41
279,30.23,31.52,32.65,33.71,34.82,36.03,37.44
280,30.29,31.57,32.70,33.76,34.86,36.07,37.48
281,30.34,31.63,32.75,33.81,34.91,36.11,37.51
282,30.40,31.68,32.80,33.85,34.95,36.15,37.55
283,30.46,31.74,32.85,33.90,34.99,36.19,37.58
284,30.52,31.79,32.90,33.95,35.04,36.23,37.62
285,30.57,31.84,32.94,33.99,35.08,36.27,37.65
286,30.63,31.89,32.99,34.04,35.12,36.30,37.68
287,30.68,31.94,33.04,34.08,35.16,36.34,37.72
288,30.73,31.99,33.09,34.12,35.20,36.38,37.75
289,30.79,32.04,33.13,34.16,35.24,36.41,37.78
290,30.84,32.09,33.18,34.21,35.28,36.45,37.81
291,30.89,32.14,33.22,34.25,35.32,36.48,37.84
292,30.94,32.18,33.26,34.29,35.35,36.52,37.87
293,30.99,32.23,33.31,34.33,35.39,36.55,37.90
294,31.04,32.28,33.35,34.37,35.43,36.59,37.93
295,31.09,32.32,33.39,34.41,35.46,36.62,37.96
296,31.14,32.37,33.43,34.45,35.50,36.65,37.99
297,31.18,32.41,33.48,34.49,35.54,36.68,38.02
298,31.23,32.45,33.52,34.52,35.57,36.72,38.05
299,31.28,32.50,33.56,34.56,35.60,36.75,38.07
300,31.32,32.54,33.60,34.60,35.64,36.78,38.10
