Interval,L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0-2 mo,0.8807,4.3539,0.15953,2.3,3.0,3.7,4.4,5.1,5.8,6.5
1-3 mo,0.8807,3.1035,0.16706,1.6,2.1,2.6,3.1,3.6,4.2,4.7
2-4 mo,0.8807,2.3473,0.18107,1.1,1.5,1.9,2.3,2.8,3.2,3.7
3-5 mo,0.8807,1.9599,0.20017,0.8,1.2,1.6,2.0,2.4,2.8,3.2
4-6 mo,0.8807,1.6524,0.22476,0.6,0.9,1.3,1.7,2.0,2.4,2.8
5-7 mo,0.8807,1.3981,0.25281,0.4,0.7,1.1,1.4,1.8,2.1,2.5
6-8 mo,0.8807,1.1762,0.28607,0.2,0.5,0.8,1.2,1.5,1.9,2.2
7-9 mo,0.8807,0.9921,0.32161,0.1,0.4,0.7,1.0,1.3,1.7,2.0
8-10 mo,0.8807,0.8471,0.35933,0.0,0.3,0.5,0.8,1.2,1.5,1.8
9-11 mo,0.8807,0.7384,0.40034,0.0,0.2,0.5,0.7,1.0,1.4,1.7
10-12 mo,0.8807,0.6552,0.44193,0.0,0.1,0.4,0.7,1.0,1.3,1.6
