Interval,L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0-2 mo,0.9497,8.482,0.134,5.1,6.2,7.3,8.5,9.6,10.8,11.9
1-3 mo,0.9497,6.9984,0.14062,4.1,5.0,6.0,7.0,8.0,9.0,10.0
2-4 mo,0.9497,5.5716,0.17179,2.7,3.7,4.6,5.6,6.5,7.5,8.5
3-5 mo,0.9497,4.4941,0.20929,1.7,2.6,3.6,4.5,5.4,6.4,7.4
4-6 mo,0.9497,3.7228,0.24323,1.1,1.9,2.8,3.7,4.6,5.6,6.5
5-7 mo,0.9497,3.2403,0.26837,0.7,1.5,2.4,3.2,4.1,5.0,5.9
6-8 mo,0.9497,2.9661,0.28481,0.5,1.3,2.1,3.0,3.8,4.7,5.5
7-9 mo,0.9497,2.8089,0.29636,0.4,1.2,2.0,2.8,3.6,4.5,5.4
8-10 mo,0.9497,2.6901,0.30505,0.3,1.1,1.9,2.7,3.5,4.4,5.2
9-11 mo,0.9497,2.5785,0.31391,0.2,1.0,1.8,2.6,3.4,4.2,5.1
10-12 mo,0.9497,2.4724,0.324,0.2,0.9,1.7,2.5,3.3,4.1,4.9
11-13 mo,0.9497,2.3818,0.33613,0.1,0.8,1.6,2.4,3.2,4.0,4.8
12-14 mo,0.9497,2.2978,0.34908,0.0,0.7,1.5,2.3,3.1,3.9,4.8
13-15 mo,0.9497,2.2138,0.36174,0.0,0.7,1.4,2.2,3.0,3.8,4.7
14-16 mo,0.9497,2.1357,0.3741,0.0,0.6,1.3,2.1,2.9,3.8,4.6
15-17 mo,0.9497,2.0675,0.38645,0.0,0.5,1.3,2.1,2.9,3.7,4.5
16-18 mo,0.9497,2.0061,0.39924,0.0,0.4,1.2,2.0,2.8,3.6,4.5
17-19 mo,0.9497,1.9495,0.41274,0.0,0.4,1.2,1.9,2.8,3.6,4.4
18-20 mo,0.9497,1.8972,0.42656,0.0,0.3,1.1,1.9,2.7,3.5,4.4
19-21 mo,0.9497,1.849,0.44029,0.0,0.3,1.0,1.8,2.7,3.5,4.4
20-22 mo,0.9497,1.803,0.45398,0.0,0.2,1.0,1.8,2.6,3.5,4.3
21-23 mo,0.9497,1.7575,0.46768,0.0,0.2,0.9,1.8,2.6,3.4,4.3
22-24 mo,0.9497,1.7133,0.48129,0.0,0.1,0.9,1.7,2.5,3.4,4.3
