days,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231,26.46,28.07,29.50,30.88,32.29,33.81,35.52
232,26.57,28.17,29.60,30.97,32.37,33.88,35.58
233,26.68,28.27,29.69,31.05,32.45,33.95,35.64
234,26.79,28.37,29.78,31.14,32.53,34.02,35.70
235,26.89,28.47,29.88,31.22,32.61,34.09,35.76
236,27.00,28.57,29.97,31.31,32.68,34.16,35.83
237,27.10,28.66,30.06,31.39,32.76,34.23,35.89
238,27.21,28.76,30.14,31.47,32.83,34.30,35.95
239,27.31,28.85,30.23,31.55,32.91,34.36,36.00
240,27.41,28.94,30.32,31.63,32.98,34.43,36.06
241,27.51,29.04,30.40,31.71,33.05,34.50,36.12
242,27.60,29.13,30.49,31.79,33.13,34.56,36.18
243,27.70,29.22,30.57,31.87,33.20,34.63,36.24
244,27.80,29.31,30.65,31.94,33.27,34.69,36.29
245,27.89,29.39,30.74,32.02,33.34,34.76,36.35
246,27.99,29.48,30.82,32.10,33.41,34.82,36.41
247,28.08,29.57,30.90,32.17,33.48,34.88,36.46
248,28.17,29.65,30.98,32.24,33.55,34.94,36.52
249,28.26,29.74,31.06,32.32,33.62,35.01,36.57
250,28.35,29.82,31.14,32.39,33.68,35.07,36.63
251,28.44,29.90,31.21,32.46,33.75,35.13,36.68
252,28.53,29.99,31.29,32.53,33.82,35.19,36.74
253,28.62,30.07,31.36,32.61,33.88,35.25,36.79
254,28.70,30.15,31.44,32.68,33.95,35.31,36.85
255,28.79,30.23,31.51,32.75,34.01,35.37,36.90
256,28.87,30.31,31.59,32.81,34.07,35.43,36.95
257,28.96,30.38,31.66,32.88,34.14,35.48,37.00
258,29.04,30.46,31.73,32.95,34.20,35.54,37.05
259,29.12,30.54,31.81,33.02,34.26,35.60,37.11
260,29.20,30.61,31.88,33.08,34.33,35.66,37.16
261,29.28,30.69,31.95,33.15,34.39,35.71,37.21
262,29.36,30.76,32.02,33.22,34.45,35.77,37.26
263,29.44,30.84,32.09,33.28,34.51,35.83,37.31
264,29.52,30.91,32.15,33.34,34.57,35.88,37.36
265,29.60,30.98,32.22,33.41,34.63,35.94,37.41
266,29.67,31.05,32.29,33.47,34.69,35.99,37.46
267,29.75,31.13,32.36,33.53,34.75,36.04,37.51
268,29.82,31.20,32.42,33.60,34.80,36.10,37.56
269,29.90,31.27,32.49,33.66,34.86,36.15,37.61
270,29.97,31.34,32.56,33.72,34.92,36.20,37.65
271,30.05,31.40,32.62,33.78,34.98,36.26,37.70
272,30.12,31.47,32.68,33.84,35.03,36.31,37.75
273,30.19,31.54,32.75,33.90,35.09,36.36,37.80
274,30.26,31.61,32.81,33.96,35.14,36.41,37.84
275,30.33,31.67,32.87,34.02,35.20,36.46,37.89
276,30.40,31.74,32.94,34.08,35.26,36.52,37.94
277,30.47,31.81,33.00,34.14,35.31,36.57,37.98
278,30.54,31.87,33.06,34.20,35.36,36.62,38.03
279,30.61,31.94,33.12,34.25,35.42,36.67,38.08
280,30.68,32.00,33.18,34.31,35.47,36.72,38.12
281,30.75,32.06,33.24,34.37,35.53,36.77,38.17
282,30.81,32.13,33.30,34.42,35.58,36.82,38.21
283,30.88,32.19,33.36,34.48,35.63,36.87,38.26
284,30.95,32.25,33.42,34.54,35.68,36.91,38.30
285,31.01,32.31,33.48,34.59,35.74,36.96,38.35
286,31.08,32.38,33.54,34.65,35.79,37.01,38.39
287,31.14,32.44,33.59,34.70,35.84,37.06,38.43
288,31.21,32.50,33.65,34.75,35.89,37.11,38.48
289,31.27,32.56,33.71,34.81,35.94,37.15,38.52
290,31.33,32.62,33.76,34.86,35.99,37.20,38.57
291,31.40,32.68,33.82,34.92,36.04,37.25,38.61
292,31.46,32.73,33.88,34.97,36.09,37.30,38.65
293,31.52,32.79,33.93,35.02,36.14,37.34,38.70
294,31.58,32.85,33.99,35.07,36.19,37.39,38.74
295,31.64,32.91,34.04,35.13,36.24,37.43,38.78
296,31.70,32.97,34.10,35.18,36.29,37.48,38.82
297,31.76,33.02,34.15,35.23,36.34,37.53,38.87
298,31.82,33.08,34.20,35.28,36.39,37.57,38.91
299,31.88,33.14,34.26,35.33,36.43,37.62,38.95
300,31.94,33.19,34.31,35.38,36.48,37.66,38.99
