days,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231,37.18,39.53,41.55,43.39,45.18,47.09,49.31
232,37.38,39.72,41.73,43.57,45.35,47.25,49.46
233,37.57,39.91,41.91,43.74,45.51,47.41,49.60
234,37.76,40.09,42.08,43.90,45.67,47.56,49.75
235,37.95,40.27,42.25,44.07,45.83,47.71,49.89
236,38.14,40.45,42.42,44.23,45.99,47.86,50.03
237,38.32,40.62,42.59,44.39,46.14,48.01,50.17
238,38.50,40.79,42.75,44.55,46.29,48.15,50.30
239,38.67,40.96,42.91,44.70,46.44,48.29,50.44
240,38.84,41.12,43.07,44.85,46.58,48.43,50.57
241,39.01,41.28,43.22,45.00,46.73,48.56,50.70
242,39.18,41.44,43.38,45.15,46.87,48.70,50.82
243,39.34,41.60,43.53,45.29,47.00,48.83,50.95
244,39.51,41.75,43.67,45.43,47.14,48.96,51.07
245,39.66,41.90,43.82,45.57,47.27,49.09,51.19
246,39.82,42.05,43.96,45.71,47.40,49.21,51.31
247,39.97,42.20,44.10,45.84,47.53,49.33,51.42
248,40.12,42.34,44.24,45.97,47.66,49.45,51.54
249,40.27,42.48,44.37,46.10,47.78,49.57,51.65
250,40.42,42.62,44.51,46.23,47.90,49.69,51.76
251,40.56,42.76,44.64,46.35,48.02,49.80,51.87
252,40.70,42.89,44.76,46.48,48.14,49.92,51.97
253,40.84,43.02,44.89,46.60,48.26,50.03,52.08
254,40.98,43.15,45.02,46.72,48.37,50.14,52.18
255,41.11,43.28,45.14,46.84,48.49,50.24,52.28
256,41.25,43.41,45.26,46.95,48.60,50.35,52.38
257,41.38,43.53,45.38,47.07,48.71,50.45,52.48
258,41.50,43.65,45.49,47.18,48.81,50.56,52.58
259,41.63,43.77,45.61,47.29,48.92,50.66,52.67
260,41.75,43.89,45.72,47.40,49.02,50.75,52.76
261,41.88,44.01,45.83,47.50,49.12,50.85,52.86
262,42.00,44.12,45.94,47.61,49.22,50.95,52.95
263,42.11,44.24,46.05,47.71,49.32,51.04,53.03
264,42.23,44.35,46.16,47.81,49.42,51.13,53.12
265,42.34,44.45,46.26,47.91,49.52,51.22,53.21
266,42.46,44.56,46.36,48.01,49.61,51.31,53.29
267,42.57,44.67,46.46,48.11,49.70,51.40,53.37
268,42.68,44.77,46.56,48.20,49.79,51.49,53.46
269,42.79,44.87,46.66,48.29,49.88,51.57,53.54
270,42.89,44.97,46.76,48.39,49.97,51.66,53.62
271,43.00,45.07,46.85,48.48,50.06,51.74,53.69
272,43.10,45.17,46.94,48.57,50.14,51.82,53.77
273,43.20,45.27,47.04,48.65,50.23,51.90,53.85
274,43.30,45.36,47.13,48.74,50.31,51.98,53.92
275,43.40,45.46,47.22,48.83,50.39,52.06,53.99
276,43.49,45.55,47.30,48.91,50.47,52.14,54.06
277,43.59,45.64,47.39,48.99,50.55,52.21,54.14
278,43.68,45.73,47.47,49.07,50.63,52.28,54.20
279,43.77,45.81,47.56,49.15,50.70,52.36,54.27
280,43.87,45.90,47.64,49.23,50.78,52.43,54.34
281,43.95,45.99,47.72,49.31,50.85,52.50,54.41
282,44.04,46.07,47.80,49.39,50.93,52.57,54.47
283,44.13,46.15,47.88,49.46,51.00,52.64,54.54
284,44.22,46.23,47.96,49.54,51.07,52.70,54.60
285,44.30,46.31,48.03,49.61,51.14,52.77,54.66
286,44.38,46.39,48.11,49.68,51.21,52.84,54.72
287,44.46,46.47,48.18,49.75,51.28,52.90,54.78
288,44.54,46.55,48.26,49.82,51.34,52.96,54.84
289,44.62,46.62,48.33,49.89,51.41,53.03,54.90
290,44.70,46.69,48.40,49.96,51.47,53.09,54.96
291,44.78,46.77,48.47,50.02,51.54,53.15,55.01
292,44.86,46.84,48.54,50.09,51.60,53.21,55.07
293,44.93,46.91,48.60,50.15,51.66,53.26,55.13
294,45.00,46.98,48.67,50.22,51.72,53.32,55.18
295,45.08,47.05,48.74,50.28,51.78,53.38,55.23
296,45.15,47.12,48.80,50.34,51.84,53.43,55.28
297,45.22,47.18,48.86,50.40,51.90,53.49,55.34
298,45.29,47.25,48.93,50.46,51.95,53.54,55.39
299,45.36,47.31,48.99,50.52,52.01,53.60,55.44
300,45.42,47.38,49.05,50.58,52.07,53.65,55.49
