days,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
231,36.57,39.39,41.70,43.81,45.92,48.27,51.13
232,36.80,39.60,41.89,43.98,46.08,48.41,51.25
233,37.02,39.80,42.08,44.15,46.24,48.55,51.37
234,37.24,40.00,42.27,44.32,46.39,48.69,51.49
235,37.45,40.19,42.45,44.49,46.55,48.83,51.61
236,37.66,40.39,42.62,44.65,46.70,48.96,51.73
237,37.87,40.58,42.80,44.82,46.85,49.10,51.84
238,38.08,40.76,42.97,44.98,46.99,49.23,51.96
239,38.28,40.95,43.14,45.13,47.14,49.36,52.07
240,38.48,41.13,43.31,45.29,47.28,49.49,52.18
241,38.67,41.31,43.47,45.44,47.42,49.61,52.29
242,38.86,41.48,43.64,45.59,47.56,49.74,52.40
243,39.05,41.66,43.80,45.74,47.69,49.86,52.50
244,39.24,41.83,43.95,45.88,47.83,49.98,52.61
245,39.42,41.99,44.11,46.03,47.96,50.10,52.71
246,39.60,42.16,44.26,46.17,48.09,50.22,52.81
247,39.78,42.32,44.41,46.31,48.21,50.33,52.91
248,39.95,42.48,44.56,46.44,48.34,50.44,53.01
249,40.12,42.64,44.70,46.58,48.46,50.56,53.11
250,40.29,42.79,44.85,46.71,48.59,50.67,53.20
251,40.46,42.95,44.99,46.84,48.71,50.78,53.30
252,40.62,43.10,45.13,46.97,48.83,50.88,53.39
253,40.78,43.24,45.26,47.10,48.94,50.99,53.49
254,40.94,43.39,45.40,47.22,49.06,51.09,53.58
255,41.10,43.53,45.53,47.35,49.17,51.20,53.67
256,41.25,43.67,45.66,47.47,49.28,51.30,53.75
257,41.41,43.81,45.79,47.59,49.39,51.40,53.84
258,41.56,43.95,45.92,47.71,49.50,51.50,53.93
259,41.70,44.09,46.05,47.82,49.61,51.59,54.01
260,41.85,44.22,46.17,47.94,49.72,51.69,54.10
261,41.99,44.35,46.29,48.05,49.82,51.78,54.18
262,42.13,44.48,46.41,48.16,49.92,51.88,54.26
263,42.27,44.61,46.53,48.27,50.03,51.97,54.34
264,42.41,44.74,46.65,48.38,50.13,52.06,54.42
265,42.54,44.86,46.76,48.49,50.22,52.15,54.50
266,42.68,44.98,46.87,48.59,50.32,52.24,54.58
267,42.81,45.10,46.99,48.70,50.42,52.33,54.65
268,42.94,45.22,47.10,48.80,50.51,52.41,54.73
269,43.06,45.34,47.21,48.90,50.61,52.50,54.80
270,43.19,45.45,47.31,49.00,50.70,52.58,54.88
271,43.31,45.57,47.42,49.10,50.79,52.66,54.95
272,43.44,45.68,47.52,49.19,50.88,52.74,55.02
273,43.56,45.79,47.63,49.29,50.97,52.82,55.09
274,43.68,45.90,47.73,49.38,51.05,52.90,55.16
275,43.79,46.01,47.83,49.48,51.14,52.98,55.23
276,43.91,46.11,47.93,49.57,51.22,53.06,55.30
277,44.02,46.22,48.02,49.66,51.31,53.13,55.36
278,44.13,46.32,48.12,49.75,51.39,53.21,55.43
279,44.24,46.42,48.21,49.84,51.47,53.28,55.50
280,44.35,46.52,48.31,49.92,51.55,53.36,55.56
281,44.46,46.62,48.40,50.01,51.63,53.43,55.62
282,44.57,46.72,48.49,50.09,51.71,53.50,55.69
283,44.67,46.82,48.58,50.18,51.79,53.57,55.75
284,44.78,46.91,48.67,50.26,51.86,53.64,55.81
285,44.88,47.01,48.75,50.34,51.94,53.71,55.87
286,44.98,47.10,48.84,50.42,52.01,53.78,55.93
287,45.08,47.19,48.93,50.50,52.09,53.84,55.99
288,45.18,47.28,49.01,50.58,52.16,53.91,56.04
289,45.27,47.37,49.09,50.66,52.23,53.97,56.10
290,45.37,47.46,49.17,50.73,52.30,54.04,56.16
291,45.46,47.54,49.25,50.81,52.37,54.10,56.21
292,45.56,47.63,49.33,50.88,52.44,54.16,56.27
293,45.65,47.71,49.41,50.95,52.51,54.23,56.32
294,45.74,47.80,49.49,51.03,52.57,54.29,56.38
295,45.83,47.88,49.57,51.10,52.64,54.35,56.43
296,45.92,47.96,49.64,51.17,52.70,54.41,56.48
297,46.00,48.04,49.72,51.24,52.77,54.46,56.53
298,46.09,48.12,49.79,51.31,52.83,54.52,56.59
299,46.17,48.20,49.86,51.37,52.89,54.58,56.64
300,46.26,48.28,49.94,51.44,52.96,54.64,56.69
