Interval,L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0-2 mo,0.9267,4.6878,0.16093,2.5,3.2,3.9,4.7,5.4,6.2,7.0
1-3 mo,0.621,3.3714,0.15634,1.9,2.4,2.9,3.4,3.9,4.5,5.1
2-4 mo,0.5607,2.517,0.16382,1.4,1.8,2.1,2.5,2.9,3.4,3.9
3-5 mo,0.6219,2.0747,0.18097,1.1,1.4,1.7,2.1,2.5,2.9,3.3
4-6 mo,0.7141,1.7184,0.207,0.8,1.1,1.4,1.7,2.1,2.5,2.9
5-7 mo,0.7879,1.4381,0.23798,0.5,0.8,1.1,1.4,1.8,2.2,2.5
6-8 mo,0.8482,1.2009,0.27392,0.3,0.6,0.9,1.2,1.5,1.9,2.2
7-9 mo,0.8985,1.0106,0.31173,0.1,0.4,0.7,1.0,1.3,1.7,2.0
8-10 mo,0.9379,0.8731,0.35212,0.0,0.3,0.6,0.9,1.2,1.5,1.8
9-11 mo,0.9577,0.7615,0.39591,0.0,0.2,0.5,0.8,1.1,1.4,1.7
10-12 mo,0.9598,0.6659,0.44007,0.0,0.1,0.4,0.7,1.0,1.3,1.6
