Interval,L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
0-2 mo,0.9918,7.9023,0.14123,4.6,5.7,6.8,7.9,9.0,10.1,11.3
1-3 mo,0.9918,6.3775,0.15004,3.5,4.5,5.4,6.4,7.3,8.3,9.3
2-4 mo,0.9918,5.1574,0.17732,2.4,3.3,4.2,5.2,6.1,7.0,7.9
3-5 mo,0.9918,4.2877,0.21092,1.6,2.5,3.4,4.3,5.2,6.1,7.0
4-6 mo,0.9918,3.5965,0.23941,1.0,1.9,2.7,3.6,4.5,5.3,6.2
5-7 mo,0.9918,3.1827,0.25995,0.7,1.5,2.4,3.2,4.0,4.8,5.7
6-8 mo,0.9918,3.0,0.27597,0.5,1.3,2.2,3.0,3.8,4.7,5.5
7-9 mo,0.9918,2.8764,0.28638,0.4,1.2,2.1,2.9,3.7,4.5,5.4
8-10 mo,0.9918,2.7444,0.29192,0.4,1.1,1.9,2.7,3.5,4.3,5.2
9-11 mo,0.9918,2.6284,0.29751,0.3,1.1,1.8,2.6,3.4,4.2,5.0
10-12 mo,0.9918,2.5303,0.30553,0.2,1.0,1.8,2.5,3.3,4.1,4.9
11-13 mo,0.9918,2.4425,0.31612,0.1,0.9,1.7,2.4,3.2,4.0,4.8
12-14 mo,0.9918,2.3621,0.32828,0.1,0.8,1.6,2.4,3.1,3.9,4.7
13-15 mo,0.9918,2.2879,0.34112,0.1,0.7,1.5,2.3,3.1,3.9,4.6
14-16 mo,0.9918,2.2236,0.35425,0.1,0.7,1.4,2.2,3.0,3.8,4.6
15-17 mo,0.9918,2.1684,0.36737,0.1,0.6,1.4,2.2,3.0,3.8,4.6
16-18 mo,0.9918,2.1113,0.38003,0.1,0.5,1.3,2.1,2.9,3.7,4.5
17-19 mo,0.9918,2.047,0.39199,0.1,0.4,1.2,2.0,2.9,3.7,4.5
18-20 mo,0.9918,1.9822,0.40358,0.1,0.4,1.2,2.0,2.8,3.6,4.4
19-21 mo,0.9918,1.9225,0.41519,0.1,0.3,1.1,1.9,2.7,3.5,4.3
20-22 mo,0.9918,1.8682,0.42686,0.0,0.3,1.1,1.9,2.7,3.5,4.3
21-23 mo,0.9918,1.8192,0.43859,0.0,0.2,1.0,1.8,2.6,3.4,4.2
22-24 mo,0.9918,1.775,0.45033,0.0,0.2,1.0,1.8,2.6,3.4,4.2
