x,L,M,S
168,1.0105,22.1000,0.07062
169,0.9921,22.2000,0.07031
170,0.8687,22.3000,0.06987
171,1.0107,22.5000,0.06936
172,1.0000,22.6000,0.06922
173,0.9919,22.7000,0.06876
174,1.1053,22.9000,0.06796
175,1.0109,23.0000,0.06785
176,1.0000,23.1000,0.06772
177,0.8634,23.2000,0.06715
178,1.1094,23.4000,0.06651
179,1.0111,23.5000,0.06641
180,0.9915,23.6000,0.06613
181,0.8604,23.7000,0.06574
182,1.1134,23.9000,0.06512
183,1.0000,24.0000,0.06518
184,0.9913,24.1000,0.06476
185,0.8575,24.2000,0.06438
186,1.0115,24.4000,0.06396
187,1.0000,24.5000,0.06385
188,0.9911,24.6000,0.06345
189,1.1205,24.8000,0.06276
190,1.0117,24.9000,0.06268
191,1.0000,25.0000,0.06257
192,0.8522,25.1000,0.06207
193,1.1243,25.3000,0.06152
194,1.0119,25.4000,0.06144
195,0.9907,25.5000,0.06121
196,0.8492,25.6000,0.06085
197,1.1281,25.8000,0.06033
198,1.0000,25.9000,0.06040
199,0.9905,26.0000,0.06003
200,0.8463,26.1000,0.05969
201,1.0123,26.3000,0.05934
202,1.0000,26.4000,0.05925
203,0.9903,26.5000,0.05890
204,1.1349,26.7000,0.05830
205,1.0125,26.8000,0.05823
206,1.0000,26.9000,0.05815
207,0.8410,27.0000,0.05770
208,1.1386,27.2000,0.05723
209,1.0127,27.3000,0.05717
210,0.9899,27.4000,0.05696
211,0.8380,27.5000,0.05665
212,1.1422,27.7000,0.05619
213,1.0000,27.8000,0.05627
214,0.9897,27.9000,0.05594
215,0.8351,28.0000,0.05563
216,1.0131,28.2000,0.05534
217,1.0000,28.3000,0.05528
218,0.8327,28.4000,0.05485
219,1.1487,28.6000,0.05443
220,1.0133,28.7000,0.05438
221,0.9893,28.8000,0.05419
222,0.8298,28.9000,0.05390
223,1.1523,29.1000,0.05349
224,1.0000,29.2000,0.05357
225,0.9891,29.3000,0.05327
226,0.8268,29.4000,0.05298
227,1.0137,29.6000,0.05272
228,1.0000,29.7000,0.05267
229,0.9889,29.8000,0.05237
230,1.1586,30.0000,0.05189
231,0.4894,30.4600,0.04761
232,0.4605,30.5500,0.04721
233,0.4730,30.6400,0.04681
234,0.4651,30.7300,0.04641
235,0.4592,30.8200,0.04601
236,0.4901,30.9100,0.04566
237,0.4575,30.9900,0.04527
238,0.4747,31.0800,0.04488
239,0.4494,31.1600,0.04449
240,0.4414,31.2400,0.04418
241,0.4289,31.3200,0.04385
242,0.4218,31.4000,0.04353
243,0.4354,31.4800,0.04317
244,0.4372,31.5600,0.04285
245,0.4659,31.6400,0.04255
246,0.4159,31.7100,0.04224
247,0.4618,31.7900,0.04193
248,0.4106,31.8600,0.04162
249,0.4020,31.9300,0.04134
250,0.3858,32.0000,0.04103
251,0.3794,32.0700,0.04076
252,0.3906,32.1400,0.04050
253,0.3842,32.2100,0.04024
254,0.4031,32.2800,0.03996
255,0.4075,32.3500,0.03971
256,0.3713,32.4100,0.03946
257,0.3860,32.4800,0.03922
258,0.3584,32.5400,0.03899
259,0.4018,32.6100,0.03875
260,0.3669,32.6700,0.03851
261,0.3590,32.7300,0.03824
262,0.3512,32.7900,0.03805
263,0.3444,32.8500,0.03781
264,0.3409,32.9100,0.03762
265,0.3644,32.9700,0.03741
266,0.3795,33.0300,0.03721
267,0.2888,33.0800,0.03699
268,0.3242,33.1400,0.03678
269,0.3741,33.2000,0.03662
270,0.3245,33.2500,0.03641
271,0.2933,33.3000,0.03620
272,0.3215,33.3600,0.03601
273,0.3163,33.4100,0.03585
274,0.2844,33.4600,0.03564
275,0.2917,33.5100,0.03547
276,0.2847,33.5600,0.03529
277,0.2791,33.6100,0.03513
278,0.2609,33.6600,0.03496
279,0.2759,33.7100,0.03475
280,0.2838,33.7600,0.03461
281,0.3259,33.8100,0.03446
282,0.2599,33.8500,0.03431
283,0.2792,33.9000,0.03412
284,0.2856,33.9500,0.03398
285,0.2705,33.9900,0.03386
286,0.3124,34.0400,0.03367
287,0.2699,34.0800,0.03356
288,0.2508,34.1200,0.03343
289,0.2187,34.1600,0.03325
290,0.2781,34.2100,0.03311
291,0.2725,34.2500,0.03297
292,0.2716,34.2900,0.03286
293,0.2622,34.3300,0.03270
294,0.2462,34.3700,0.03258
295,0.2555,34.4100,0.03245
296,0.2497,34.4500,0.03231
297,0.2811,34.4900,0.03221
298,0.1969,34.5200,0.03210
299,0.2187,34.5600,0.03192
300,0.2545,34.6000,0.03184
