x,L,M,S
168,0.8687,22.3000,0.06987
169,1.1020,22.5000,0.06916
170,1.0000,22.6000,0.06922
171,0.9919,22.7000,0.06876
172,0.8658,22.8000,0.06833
173,1.0109,23.0000,0.06785
174,1.0000,23.1000,0.06772
175,0.9917,23.2000,0.06728
176,1.1094,23.4000,0.06651
177,1.0111,23.5000,0.06641
178,1.0000,23.6000,0.06628
179,0.8604,23.7000,0.06574
180,1.1134,23.9000,0.06512
181,1.0113,24.0000,0.06503
182,0.9913,24.1000,0.06476
183,0.8575,24.2000,0.06438
184,1.0115,24.4000,0.06396
185,1.0000,24.5000,0.06385
186,0.9911,24.6000,0.06345
187,1.1205,24.8000,0.06276
188,1.0117,24.9000,0.06268
189,1.0000,25.0000,0.06257
190,0.8522,25.1000,0.06207
191,1.1243,25.3000,0.06152
192,1.0119,25.4000,0.06144
193,0.9907,25.5000,0.06121
194,0.8492,25.6000,0.06085
195,1.1281,25.8000,0.06033
196,1.0000,25.9000,0.06040
197,0.9905,26.0000,0.06003
198,0.8463,26.1000,0.05969
199,1.0123,26.3000,0.05934
200,1.0000,26.4000,0.05925
201,0.9903,26.5000,0.05890
202,1.1349,26.7000,0.05830
203,1.0125,26.8000,0.05823
204,1.0000,26.9000,0.05815
205,0.8410,27.0000,0.05770
206,1.1386,27.2000,0.05723
207,1.0127,27.3000,0.05717
208,0.9899,27.4000,0.05696
209,0.8380,27.5000,0.05665
210,1.1422,27.7000,0.05619
211,1.0000,27.8000,0.05627
212,0.9897,27.9000,0.05594
213,0.8351,28.0000,0.05563
214,1.0131,28.2000,0.05534
215,1.0000,28.3000,0.05528
216,0.9894,28.4000,0.05496
217,1.1487,28.6000,0.05443
218,1.0133,28.7000,0.05438
219,1.0000,28.8000,0.05432
220,0.8298,28.9000,0.05390
221,1.1523,29.1000,0.05349
222,1.0135,29.2000,0.05345
223,0.9891,29.3000,0.05327
224,0.8268,29.4000,0.05298
225,1.1559,29.6000,0.05259
226,1.0000,29.7000,0.05267
227,0.9889,29.8000,0.05237
228,0.8239,29.9000,0.05210
229,1.0139,30.1000,0.05185
230,1.0000,30.2000,0.05180
231,0.6390,30.8800,0.04795
232,0.6533,30.9700,0.04755
233,0.6273,31.0500,0.04717
234,0.6437,31.1400,0.04678
235,0.6297,31.2200,0.04643
236,0.6342,31.3100,0.04607
237,0.6286,31.3900,0.04576
238,0.6039,31.4700,0.04539
239,0.6182,31.5500,0.04503
240,0.6136,31.6300,0.04471
241,0.6037,31.7100,0.04438
242,0.6198,31.7900,0.04409
243,0.6172,31.8700,0.04379
244,0.5875,31.9400,0.04345
245,0.6065,32.0200,0.04319
246,0.6104,32.1000,0.04288
247,0.5965,32.1700,0.04257
248,0.5743,32.2400,0.04232
249,0.6044,32.3200,0.04203
250,0.5835,32.3900,0.04177
251,0.5791,32.4600,0.04151
252,0.5477,32.5300,0.04124
253,0.5983,32.6100,0.04096
254,0.5930,32.6800,0.04075
255,0.5903,32.7500,0.04047
256,0.5483,32.8100,0.04023
257,0.5596,32.8800,0.03998
258,0.5754,32.9500,0.03974
259,0.5713,33.0200,0.03953
260,0.5373,33.0800,0.03933
261,0.5610,33.1500,0.03908
262,0.5866,33.2200,0.03887
263,0.5444,33.2800,0.03865
264,0.5211,33.3400,0.03844
265,0.5471,33.4100,0.03823
266,0.5410,33.4700,0.03804
267,0.5050,33.5300,0.03780
268,0.5567,33.6000,0.03763
269,0.5300,33.6600,0.03741
270,0.5433,33.7200,0.03720
271,0.5201,33.7800,0.03704
272,0.5182,33.8400,0.03685
273,0.5117,33.9000,0.03667
274,0.5301,33.9600,0.03646
275,0.5366,34.0200,0.03631
276,0.5215,34.0800,0.03615
277,0.5405,34.1400,0.03595
278,0.5492,34.2000,0.03579
279,0.4780,34.2500,0.03563
280,0.5077,34.3100,0.03544
281,0.5144,34.3700,0.03530
282,0.4880,34.4200,0.03513
283,0.4967,34.4800,0.03498
284,0.5369,34.5400,0.03477
285,0.4968,34.5900,0.03467
286,0.5172,34.6500,0.03447
287,0.5040,34.7000,0.03433
288,0.4409,34.7500,0.03419
289,0.5065,34.8100,0.03402
290,0.4701,34.8600,0.03392
291,0.5025,34.9200,0.03374
292,0.4971,34.9700,0.03362
293,0.4699,35.0200,0.03350
294,0.4526,35.0700,0.03336
295,0.5244,35.1300,0.03320
296,0.5073,35.1800,0.03306
297,0.4811,35.2300,0.03299
298,0.4771,35.2800,0.03284
299,0.4617,35.3300,0.03269
300,0.4696,35.3800,0.03256
