x,L,M,S
168,1.0000,31.8000,0.08176
169,1.0000,32.0000,0.08125
170,1.0428,32.2000,0.08038
171,1.0000,32.3000,0.08050
172,1.0000,32.5000,0.08000
173,1.0000,32.7000,0.07951
174,1.0000,32.9000,0.07903
175,1.0000,33.1000,0.07855
176,1.0000,33.2000,0.07831
177,1.0000,33.4000,0.07784
178,1.0000,33.6000,0.07738
179,1.0000,33.8000,0.07692
180,1.0000,34.0000,0.07647
181,1.0000,34.1000,0.07625
182,1.0000,34.3000,0.07580
183,1.0000,34.5000,0.07536
184,1.0000,34.7000,0.07493
185,1.0000,34.9000,0.07450
186,1.0000,35.1000,0.07407
187,1.0000,35.2000,0.07386
188,1.0000,35.4000,0.07345
189,1.0000,35.6000,0.07303
190,1.0000,35.8000,0.07263
191,1.0000,36.0000,0.07222
192,1.0000,36.1000,0.07202
193,1.0000,36.3000,0.07163
194,1.0000,36.5000,0.07123
195,1.0000,36.7000,0.07084
196,1.0000,36.9000,0.07046
197,0.9216,37.0000,0.06972
198,1.0000,37.2000,0.06989
199,1.0000,37.4000,0.06952
200,1.0000,37.6000,0.06915
201,1.0000,37.8000,0.06878
202,1.0000,38.0000,0.06842
203,1.0000,38.1000,0.06824
204,1.0000,38.3000,0.06789
205,1.0000,38.5000,0.06753
206,1.0000,38.7000,0.06718
207,1.0000,38.9000,0.06684
208,1.0000,39.0000,0.06667
209,1.0000,39.2000,0.06633
210,1.0000,39.4000,0.06599
211,1.0000,39.6000,0.06566
212,1.0000,39.8000,0.06533
213,1.0000,40.0000,0.06500
214,1.0000,40.1000,0.06484
215,1.0000,40.3000,0.06452
216,1.0000,40.5000,0.06420
217,1.0000,40.7000,0.06388
218,1.0000,40.9000,0.06357
219,1.0000,41.0000,0.06341
220,1.0000,41.2000,0.06311
221,1.0000,41.4000,0.06280
222,1.0000,41.6000,0.06250
223,1.0000,41.8000,0.06220
224,1.0000,41.9000,0.06205
225,1.0000,42.1000,0.06176
226,1.0000,42.3000,0.06147
227,1.0000,42.5000,0.06118
228,1.0000,42.7000,0.06089
229,1.0000,42.9000,0.06061
230,1.0000,43.0000,0.06047
231,1.3331,43.3900,0.04538
232,1.3537,43.5700,0.04502
233,1.3644,43.7400,0.04465
234,1.3425,43.9000,0.04433
235,1.3637,44.0700,0.04399
236,1.3524,44.2300,0.04365
237,1.3565,44.3900,0.04335
238,1.3785,44.5500,0.04302
239,1.3652,44.7000,0.04274
240,1.3694,44.8500,0.04246
241,1.3789,45.0000,0.04217
242,1.3953,45.1500,0.04187
243,1.3826,45.2900,0.04160
244,1.3762,45.4300,0.04133
245,1.3914,45.5700,0.04108
246,1.4025,45.7100,0.04081
247,1.4004,45.8400,0.04054
248,1.3908,45.9700,0.04032
249,1.3966,46.1000,0.04007
250,1.4009,46.2300,0.03982
251,1.3854,46.3500,0.03960
252,1.4229,46.4800,0.03938
253,1.4128,46.6000,0.03917
254,1.4172,46.7200,0.03893
255,1.4396,46.8400,0.03872
256,1.4055,46.9500,0.03850
257,1.4352,47.0700,0.03829
258,1.4337,47.1800,0.03814
259,1.4369,47.2900,0.03792
260,1.4615,47.4000,0.03771
261,1.4117,47.5000,0.03753
262,1.4363,47.6100,0.03735
263,1.4463,47.7100,0.03715
264,1.4347,47.8100,0.03697
265,1.4436,47.9100,0.03683
266,1.4498,48.0100,0.03663
267,1.4693,48.1100,0.03645
268,1.4360,48.2000,0.03631
269,1.4237,48.2900,0.03614
270,1.4632,48.3900,0.03600
271,1.4679,48.4800,0.03582
272,1.4726,48.5700,0.03567
273,1.4282,48.6500,0.03553
274,1.4546,48.7400,0.03538
275,1.4751,48.8300,0.03521
276,1.4712,48.9100,0.03509
277,1.4423,48.9900,0.03496
278,1.4612,49.0700,0.03480
279,1.4637,49.1500,0.03469
280,1.4521,49.2300,0.03454
281,1.4713,49.3100,0.03443
282,1.4974,49.3900,0.03429
283,1.4603,49.4600,0.03418
284,1.4956,49.5400,0.03402
285,1.4914,49.6100,0.03392
286,1.4853,49.6800,0.03380
287,1.4883,49.7500,0.03368
288,1.4913,49.8200,0.03355
289,1.4939,49.8900,0.03346
290,1.5058,49.9600,0.03335
291,1.4751,50.0200,0.03322
292,1.4869,50.0900,0.03311
293,1.4724,50.1500,0.03302
294,1.5176,50.2200,0.03291
295,1.4954,50.2800,0.03278
296,1.4984,50.3400,0.03267
297,1.4830,50.4000,0.03261
298,1.4859,50.4600,0.03249
299,1.4884,50.5200,0.03241
300,1.5075,50.5800,0.03232
