x,L,M,S
168,1.0000,32.2000,0.08075
169,1.0000,32.4000,0.08025
170,1.0000,32.6000,0.07975
171,1.0000,32.8000,0.07927
172,1.0000,32.9000,0.07903
173,1.0000,33.1000,0.07855
174,1.0000,33.3000,0.07808
175,1.0000,33.5000,0.07761
176,1.0000,33.7000,0.07715
177,1.0000,33.8000,0.07692
178,1.0000,34.0000,0.07647
179,1.0000,34.2000,0.07602
180,1.0000,34.4000,0.07558
181,1.0000,34.6000,0.07514
182,1.0000,34.8000,0.07471
183,1.0000,34.9000,0.07450
184,1.0000,35.1000,0.07407
185,1.0000,35.3000,0.07365
186,1.0000,35.5000,0.07324
187,1.0000,35.7000,0.07283
188,1.0000,35.8000,0.07263
189,1.0000,36.0000,0.07222
190,1.0000,36.2000,0.07182
191,1.0000,36.4000,0.07143
192,1.0000,36.6000,0.07104
193,1.0793,36.8000,0.07003
194,1.0000,36.9000,0.07046
195,1.0000,37.1000,0.07008
196,1.0000,37.3000,0.06971
197,1.0000,37.5000,0.06933
198,1.0000,37.7000,0.06897
199,1.0000,37.8000,0.06878
200,1.0000,38.0000,0.06842
201,1.0000,38.2000,0.06806
202,1.0000,38.4000,0.06771
203,1.0000,38.6000,0.06736
204,1.0000,38.7000,0.06718
205,1.0000,38.9000,0.06684
206,1.0000,39.1000,0.06650
207,1.0000,39.3000,0.06616
208,1.0000,39.5000,0.06582
209,1.0000,39.7000,0.06549
210,1.0000,39.8000,0.06533
211,1.0000,40.0000,0.06500
212,1.0000,40.2000,0.06468
213,1.0000,40.4000,0.06436
214,1.0000,40.6000,0.06404
215,1.0000,40.7000,0.06388
216,1.0000,40.9000,0.06357
217,1.0000,41.1000,0.06326
218,1.0000,41.3000,0.06295
219,1.0000,41.5000,0.06265
220,0.9427,41.6000,0.06226
221,1.0000,41.8000,0.06220
222,1.0000,42.0000,0.06190
223,1.0000,42.2000,0.06161
224,1.0000,42.4000,0.06132
225,1.0000,42.6000,0.06103
226,1.0000,42.7000,0.06089
227,1.0000,42.9000,0.06061
228,1.0000,43.1000,0.06032
229,1.0000,43.3000,0.06005
230,1.0000,43.5000,0.05977
231,0.9383,43.8100,0.05354
232,0.9247,43.9800,0.05292
233,0.9222,44.1500,0.05236
234,0.9206,44.3200,0.05179
235,0.9309,44.4900,0.05127
236,0.9174,44.6500,0.05075
237,0.9375,44.8200,0.05021
238,0.9324,44.9800,0.04971
239,0.9124,45.1300,0.04922
240,0.9246,45.2900,0.04873
241,0.9233,45.4400,0.04827
242,0.9209,45.5900,0.04784
243,0.9298,45.7400,0.04736
244,0.9041,45.8800,0.04694
245,0.9315,46.0300,0.04651
246,0.9259,46.1700,0.04609
247,0.9301,46.3100,0.04567
248,0.9121,46.4400,0.04529
249,0.9233,46.5800,0.04491
250,0.9195,46.7100,0.04453
251,0.9030,46.8400,0.04415
252,0.9169,46.9700,0.04378
253,0.9230,47.1000,0.04346
254,0.9034,47.2200,0.04310
255,0.9205,47.3500,0.04277
256,0.9305,47.4700,0.04242
257,0.9179,47.5900,0.04208
258,0.9167,47.7100,0.04177
259,0.9077,47.8200,0.04145
260,0.9130,47.9400,0.04116
261,0.9118,48.0500,0.04086
262,0.9051,48.1600,0.04057
263,0.9024,48.2700,0.04028
264,0.9010,48.3800,0.03998
265,0.9209,48.4900,0.03972
266,0.8870,48.5900,0.03945
267,0.9171,48.7000,0.03917
268,0.9030,48.8000,0.03891
269,0.9077,48.9000,0.03867
270,0.9006,49.0000,0.03843
271,0.9130,49.1000,0.03817
272,0.8768,49.1900,0.03792
273,0.8953,49.2900,0.03768
274,0.8738,49.3800,0.03744
275,0.9086,49.4800,0.03723
276,0.8933,49.5700,0.03701
277,0.9063,49.6600,0.03678
278,0.9054,49.7500,0.03658
279,0.9126,49.8400,0.03638
280,0.8802,49.9200,0.03617
281,0.9021,50.0100,0.03595
282,0.8625,50.0900,0.03576
283,0.9000,50.1800,0.03555
284,0.8835,50.2600,0.03535
285,0.8754,50.3400,0.03517
286,0.8742,50.4200,0.03498
287,0.8781,50.5000,0.03479
288,0.8945,50.5800,0.03460
289,0.9186,50.6600,0.03443
290,0.8691,50.7300,0.03426
291,0.9169,50.8100,0.03409
292,0.8738,50.8800,0.03391
293,0.8634,50.9500,0.03376
294,0.8902,51.0300,0.03358
295,0.8873,51.1000,0.03342
296,0.8880,51.1700,0.03325
297,0.9101,51.2400,0.03310
298,0.8939,51.3100,0.03295
299,0.8581,51.3700,0.03282
300,0.8548,51.4400,0.03266
