x,L,M,S
168,-0.0323,0.6000,0.19204
169,-0.0569,0.6100,0.19296
170,0.0183,0.6300,0.19209
171,0.0074,0.6400,0.19259
172,0.0231,0.6500,0.19462
173,-0.0196,0.6600,0.19333
174,0.0186,0.6800,0.19209
175,-0.0160,0.6900,0.19157
176,-0.0080,0.7000,0.19279
177,-0.0669,0.7100,0.19288
178,0.0197,0.7300,0.19305
179,-0.0379,0.7400,0.19316
180,0.0674,0.7600,0.19457
181,-0.0087,0.7700,0.19334
182,-0.0359,0.7800,0.19377
183,-0.0030,0.8000,0.19358
184,-0.0309,0.8100,0.19313
185,0.0409,0.8300,0.19498
186,0.0602,0.8500,0.19409
187,0.0046,0.8600,0.19447
188,0.0097,0.8800,0.19297
189,-0.0280,0.8900,0.19190
190,0.0029,0.9100,0.19256
191,0.0317,0.9300,0.19242
192,-0.0240,0.9400,0.19267
193,0.0039,0.9600,0.19254
194,0.0266,0.9800,0.19301
195,0.0115,1.0000,0.19220
196,-0.0399,1.0100,0.19241
197,-0.0126,1.0300,0.19299
198,0.0040,1.0500,0.19298
199,-0.0052,1.0700,0.19265
200,0.0109,1.0900,0.19265
201,0.0178,1.1100,0.19359
202,0.0180,1.1300,0.19296
203,0.0159,1.1500,0.19336
204,0.0430,1.1700,0.19423
205,-0.0059,1.1900,0.19222
206,-0.0032,1.2100,0.19300
207,-0.0145,1.2300,0.19290
208,0.0037,1.2500,0.19328
209,-0.0111,1.2700,0.19310
210,0.0155,1.3000,0.19251
211,0.0009,1.3200,0.19235
212,0.0032,1.3400,0.19305
213,-0.0239,1.3600,0.19374
214,0.0074,1.3900,0.19309
215,-0.0054,1.4100,0.19343
216,0.0298,1.4400,0.19310
217,-0.0045,1.4600,0.19338
218,0.0233,1.4900,0.19315
219,-0.0249,1.5100,0.19218
220,0.0265,1.5400,0.19342
221,-0.0192,1.5600,0.19294
222,0.0010,1.5900,0.19339
223,-0.0002,1.6200,0.19278
224,-0.0290,1.6400,0.19299
225,-0.0266,1.6700,0.19270
226,-0.0075,1.7000,0.19313
227,0.0013,1.7300,0.19317
228,0.0197,1.7600,0.19397
229,0.0212,1.7900,0.19367
230,0.0144,1.8200,0.19281
231,0.7167,1.8500,0.21333
232,0.6973,1.8900,0.20908
233,0.6901,1.9300,0.20468
234,0.6992,1.9700,0.20124
235,0.6772,2.0100,0.19803
236,0.6701,2.0500,0.19411
237,0.6849,2.0900,0.19127
238,0.6782,2.1300,0.18762
239,0.6491,2.1600,0.18557
240,0.6497,2.2000,0.18251
241,0.6628,2.2400,0.17942
242,0.6256,2.2700,0.17723
243,0.6448,2.3100,0.17515
244,0.6168,2.3400,0.17279
245,0.6491,2.3800,0.17043
246,0.6317,2.4100,0.16869
247,0.6023,2.4400,0.16637
248,0.6285,2.4800,0.16419
249,0.6188,2.5100,0.16247
250,0.6176,2.5400,0.16139
251,0.6121,2.5700,0.15962
252,0.6023,2.6000,0.15802
253,0.5840,2.6300,0.15656
254,0.5790,2.6600,0.15478
255,0.5914,2.6900,0.15348
256,0.5866,2.7200,0.15177
257,0.5463,2.7400,0.15093
258,0.5594,2.7700,0.14959
259,0.5687,2.8000,0.14801
260,0.5849,2.8300,0.14699
261,0.5588,2.8500,0.14651
262,0.5575,2.8800,0.14498
263,0.5506,2.9000,0.14396
264,0.5678,2.9300,0.14289
265,0.5259,2.9500,0.14217
266,0.5193,2.9700,0.14107
267,0.5511,3.0000,0.14023
268,0.5426,3.0200,0.13951
269,0.5150,3.0400,0.13863
270,0.5064,3.0600,0.13793
271,0.5355,3.0900,0.13702
272,0.5324,3.1100,0.13613
273,0.5292,3.1300,0.13525
274,0.5261,3.1500,0.13438
275,0.5273,3.1700,0.13399
276,0.5315,3.1900,0.13395
277,0.5284,3.2100,0.13310
278,0.4730,3.2200,0.13253
279,0.5046,3.2400,0.13214
280,0.5048,3.2600,0.13144
281,0.5021,3.2800,0.13052
282,0.4911,3.2900,0.13031
283,0.4913,3.3100,0.12963
284,0.5242,3.3300,0.12915
285,0.4908,3.3400,0.12911
286,0.4978,3.3600,0.12857
287,0.4860,3.3700,0.12795
288,0.5129,3.3900,0.12779
289,0.4915,3.4000,0.12704
290,0.4688,3.4100,0.12713
291,0.5069,3.4300,0.12628
292,0.4839,3.4400,0.12638
293,0.4824,3.4500,0.12601
294,0.4646,3.4600,0.12601
295,0.5113,3.4800,0.12561
296,0.5099,3.4900,0.12525
297,0.4892,3.5000,0.12504
298,0.4877,3.5100,0.12468
299,0.4861,3.5200,0.12432
300,0.4875,3.5300,0.12418
