x,L,M,S
168,0.0074,0.6400,0.19259
169,0.0231,0.6500,0.19462
170,-0.0196,0.6600,0.19333
171,0.0186,0.6800,0.19209
172,-0.0160,0.6900,0.19157
173,-0.0080,0.7000,0.19279
174,0.0295,0.7200,0.19261
175,-0.0105,0.7300,0.19146
176,-0.0379,0.7400,0.19316
177,0.0674,0.7600,0.19457
178,-0.0005,0.7700,0.19488
179,0.0510,0.7900,0.19344
180,-0.0030,0.8000,0.19358
181,0.0293,0.8200,0.19340
182,-0.0112,0.8300,0.19227
183,0.0351,0.8500,0.19356
184,-0.0146,0.8600,0.19368
185,0.0155,0.8800,0.19351
186,-0.0416,0.8900,0.19374
187,-0.0126,0.9100,0.19359
188,0.0060,0.9300,0.19357
189,0.0339,0.9500,0.19341
190,-0.0096,0.9600,0.19425
191,-0.0155,0.9800,0.19231
192,0.0122,1.0000,0.19290
193,0.0290,1.0200,0.19288
194,-0.0259,1.0300,0.19389
195,-0.0301,1.0500,0.19277
196,-0.0221,1.0700,0.19373
197,-0.0060,1.0900,0.19372
198,-0.0054,1.1100,0.19309
199,0.0017,1.1300,0.19400
200,-0.0246,1.1500,0.19332
201,-0.0283,1.1700,0.19232
202,-0.0166,1.1900,0.19360
203,-0.0361,1.2100,0.19300
204,0.0225,1.2400,0.19358
205,0.0244,1.2600,0.19431
206,-0.0211,1.2800,0.19241
207,-0.0263,1.3000,0.19323
208,0.0282,1.3300,0.19376
209,-0.0112,1.3500,0.19233
210,-0.0117,1.3700,0.19319
211,0.0246,1.4000,0.19286
212,-0.0261,1.4200,0.19233
213,0.0249,1.4500,0.19331
214,0.0117,1.4700,0.19316
215,0.0103,1.5000,0.19251
216,0.0033,1.5200,0.19420
217,0.0080,1.5500,0.19288
218,-0.0156,1.5700,0.19348
219,-0.0167,1.6000,0.19286
220,0.0030,1.6300,0.19330
221,0.0049,1.6600,0.19299
222,-0.0101,1.6800,0.19390
223,-0.0081,1.7100,0.19359
224,-0.0150,1.7400,0.19268
225,0.0066,1.7700,0.19376
226,0.0054,1.8000,0.19320
227,-0.0090,1.8300,0.19286
228,0.0114,1.8600,0.19388
229,-0.0135,1.8900,0.19330
230,-0.0197,1.9200,0.19249
231,0.7973,1.9500,0.23745
232,0.7922,1.9900,0.23261
233,0.7872,2.0300,0.22796
234,0.7864,2.0700,0.22295
235,0.7899,2.1100,0.21814
236,0.7852,2.1500,0.21403
237,0.7501,2.1800,0.21104
238,0.7654,2.2200,0.20671
239,0.7605,2.2600,0.20300
240,0.7487,2.2900,0.19998
241,0.7519,2.3300,0.19683
242,0.7399,2.3600,0.19398
243,0.7434,2.4000,0.19102
244,0.7319,2.4300,0.18817
245,0.7494,2.4700,0.18482
246,0.7354,2.5000,0.18257
247,0.7060,2.5300,0.18020
248,0.7379,2.5700,0.17755
249,0.7345,2.6000,0.17548
250,0.7245,2.6300,0.17318
251,0.7070,2.6600,0.17078
252,0.7034,2.6900,0.16886
253,0.6976,2.7200,0.16684
254,0.6939,2.7500,0.16500
255,0.6924,2.7800,0.16334
256,0.7007,2.8100,0.16121
257,0.6981,2.8400,0.15936
258,0.6946,2.8700,0.15768
259,0.6769,2.8900,0.15693
260,0.6857,2.9200,0.15495
261,0.6854,2.9500,0.15336
262,0.6563,2.9700,0.15167
263,0.6763,3.0000,0.15078
264,0.6945,3.0300,0.14871
265,0.6543,3.0500,0.14791
266,0.6890,3.0800,0.14627
267,0.6482,3.1000,0.14550
268,0.6376,3.1200,0.14431
269,0.6621,3.1500,0.14252
270,0.6314,3.1700,0.14202
271,0.6289,3.1900,0.14112
272,0.6566,3.2200,0.13951
273,0.6518,3.2400,0.13853
274,0.6409,3.2600,0.13743
275,0.6320,3.2800,0.13691
276,0.6296,3.3000,0.13607
277,0.6094,3.3200,0.13489
278,0.6069,3.3400,0.13408
279,0.6044,3.3600,0.13328
280,0.6019,3.3800,0.13248
281,0.6052,3.4000,0.13149
282,0.6027,3.4200,0.13072
283,0.6011,3.4400,0.12985
284,0.6174,3.4600,0.12943
285,0.6304,3.4800,0.12839
286,0.5847,3.4900,0.12785
287,0.5926,3.5100,0.12724
288,0.6057,3.5300,0.12623
289,0.6288,3.5500,0.12565
290,0.5864,3.5600,0.12544
291,0.5998,3.5800,0.12445
292,0.5722,3.5900,0.12426
293,0.5963,3.6100,0.12341
294,0.5653,3.6200,0.12312
295,0.5928,3.6400,0.12239
296,0.5818,3.6500,0.12184
297,0.5956,3.6700,0.12119
298,0.5881,3.6800,0.12105
299,0.5536,3.6900,0.12008
300,0.5910,3.7100,0.11988
