x,L,M,S
189,1.0403,24.0000,0.07215
196,1.0000,25.1000,0.06375
203,1.1438,26.2000,0.05641
210,0.7970,27.1000,0.05089
217,1.2139,28.1000,0.04702
224,1.0000,28.9000,0.04276
231,0.9107,29.7000,0.03945
238,1.1116,30.5000,0.03711
245,1.0000,31.2000,0.03526
252,1.2844,31.9000,0.03291
259,1.0000,32.5000,0.03187
266,0.7022,33.1000,0.03054
273,1.0000,33.7000,0.02967
280,0.5297,34.2000,0.02872
287,1.5033,34.8000,0.02812
294,1.5109,35.3000,0.02772
301,0.8449,35.7000,0.02721
308,1.5247,36.2000,0.02703
315,0.9959,36.6000,0.02674
322,0.4912,37.0000,0.02654
329,1.0000,37.4000,0.02674
336,1.0000,37.8000,0.02646
343,0.4804,38.1000,0.02681
350,1.0000,38.5000,0.02597
357,0.4709,38.8000,0.02632
364,1.5304,39.2000,0.02606
371,1.5046,39.5000,0.02640
378,1.5024,39.8000,0.02656
385,0.8212,40.0000,0.02670
392,0.5435,40.3000,0.02685
399,1.0000,40.6000,0.02709
406,0.5381,40.8000,0.02749
413,1.0037,41.1000,0.02729
420,0.8357,41.3000,0.02742
427,1.3130,41.6000,0.02764
434,1.0000,41.8000,0.02785
441,0.8743,42.0000,0.02789
448,1.0000,42.2000,0.02844
