x,L,M,S
189,1.0416,24.8000,0.06983
196,1.0000,25.9000,0.06178
203,1.1502,27.0000,0.05474
210,0.8067,27.9000,0.04956
217,0.7647,28.8000,0.04590
224,1.0000,29.7000,0.04161
231,0.9084,30.5000,0.03841
238,1.1153,31.3000,0.03616
245,1.0000,32.0000,0.03437
252,1.4089,32.7000,0.03233
259,1.0000,33.3000,0.03110
266,0.6950,33.9000,0.02982
273,1.0000,34.5000,0.02899
280,0.5187,35.0000,0.02806
287,1.5155,35.6000,0.02749
294,0.4605,36.0000,0.02718
301,0.8415,36.5000,0.02662
308,1.5370,37.0000,0.02645
315,0.9959,37.4000,0.02617
322,0.6463,37.8000,0.02617
329,1.0000,38.2000,0.02618
336,1.0000,38.6000,0.02591
343,1.0000,38.9000,0.02571
350,1.0000,39.3000,0.02545
357,0.4929,39.6000,0.02570
364,0.4560,39.9000,0.02560
371,1.5154,40.3000,0.02588
378,1.5128,40.6000,0.02604
385,0.8176,40.8000,0.02618
392,0.5344,41.1000,0.02633
399,1.0000,41.4000,0.02657
406,0.5584,41.6000,0.02687
413,1.1245,41.9000,0.02693
420,0.8325,42.1000,0.02689
427,1.3194,42.4000,0.02712
434,1.0000,42.6000,0.02733
441,0.8720,42.8000,0.02737
448,1.0000,43.0000,0.02791
