x,L,M,S
189,-0.0223,31.7000,0.06899
196,0.0251,33.5000,0.06337
203,-0.0069,35.2000,0.05891
210,-0.1045,36.8000,0.05515
217,0.0229,38.4000,0.05156
224,0.1416,39.9000,0.04879
231,0.1389,41.3000,0.04636
238,0.0776,42.6000,0.04410
245,0.1997,43.9000,0.04242
252,0.1662,45.1000,0.04113
259,0.0574,46.2000,0.03960
266,0.0350,47.3000,0.03867
273,-0.1509,48.3000,0.03754
280,-0.1747,49.3000,0.03678
287,-0.0180,50.3000,0.03629
294,-0.0446,51.2000,0.03572
301,0.0202,52.1000,0.03519
308,-0.0021,52.9000,0.03472
315,-0.0012,53.7000,0.03460
322,0.0050,54.5000,0.03416
329,-0.0834,55.2000,0.03378
336,-0.0796,55.9000,0.03374
343,-0.0546,56.6000,0.03371
350,0.0310,57.3000,0.03374
357,0.0273,57.9000,0.03382
364,-0.0343,58.5000,0.03359
371,-0.0373,59.1000,0.03367
378,-0.1315,59.7000,0.03380
385,0.0782,60.3000,0.03372
392,0.0266,60.8000,0.03397
399,-0.1590,61.3000,0.03401
406,0.2460,61.9000,0.03408
413,0.1335,62.4000,0.03420
420,-0.2278,62.8000,0.03432
427,-0.0390,63.3000,0.03436
434,0.0501,63.8000,0.03461
441,-0.1818,64.2000,0.03475
448,0.0162,64.7000,0.03484
