x,L,M,S
189,-0.0642,32.7000,0.06932
196,0.0705,34.6000,0.06355
203,-0.0782,36.3000,0.05912
210,0.0027,38.0000,0.05488
217,-0.0251,39.6000,0.05186
224,-0.0642,41.1000,0.04893
231,0.0434,42.6000,0.04609
238,0.1544,44.0000,0.04418
245,0.1760,45.3000,0.04253
252,0.0304,46.5000,0.04117
259,0.1628,47.7000,0.03979
266,-0.0784,48.8000,0.03841
273,-0.0804,49.9000,0.03764
280,-0.1248,50.9000,0.03682
287,-0.0186,51.9000,0.03593
294,-0.1668,52.8000,0.03550
301,-0.1935,53.7000,0.03497
308,0.0416,54.6000,0.03476
315,-0.1621,55.4000,0.03461
322,-0.0308,56.2000,0.03433
329,0.1831,57.0000,0.03412
336,-0.0202,57.7000,0.03406
343,-0.1629,58.4000,0.03381
350,0.0639,59.1000,0.03380
357,0.1971,59.8000,0.03360
364,-0.0013,60.4000,0.03360
371,-0.1164,61.0000,0.03366
378,-0.1111,61.6000,0.03368
385,0.1066,62.2000,0.03373
392,0.1279,62.8000,0.03398
399,-0.0536,63.3000,0.03402
406,-0.0472,63.8000,0.03409
413,0.1573,64.4000,0.03413
420,0.1166,64.9000,0.03431
427,-0.1659,65.3000,0.03455
434,0.0131,65.8000,0.03458
441,-0.0051,66.3000,0.03480
448,0.1674,66.8000,0.03483
