x,L,M,S
189,-0.0177,0.6100,0.20778
196,0.0173,0.7600,0.19675
203,-0.0508,0.9100,0.18752
210,0.0398,1.0900,0.17939
217,0.0312,1.2700,0.17353
224,0.0448,1.4600,0.16717
231,-0.0444,1.6500,0.16144
238,-0.0025,1.8600,0.15707
245,0.0385,2.0700,0.15373
252,0.0170,2.2800,0.15020
259,0.0001,2.4900,0.14701
266,0.0318,2.7100,0.14451
273,-0.0173,2.9200,0.14212
280,-0.0185,3.1300,0.14013
287,0.0115,3.3500,0.13825
294,-0.0205,3.5500,0.13704
301,0.0018,3.7600,0.13575
308,-0.0271,3.9600,0.13453
315,-0.0203,4.1600,0.13361
322,0.0012,4.3600,0.13275
329,-0.0031,4.5500,0.13197
336,-0.0029,4.7400,0.13121
343,0.0054,4.9200,0.13076
350,-0.0019,5.1000,0.13030
357,-0.0045,5.2700,0.12968
364,-0.0010,5.4400,0.12941
371,-0.0102,5.6000,0.12939
378,0.0014,5.7600,0.12906
385,0.0110,5.9200,0.12884
392,0.0180,6.0700,0.12878
399,-0.0047,6.2100,0.12838
406,-0.0047,6.3500,0.12846
413,-0.0056,6.4900,0.12828
420,-0.0050,6.6200,0.12831
427,0.0038,6.7500,0.12834
434,-0.1689,6.8700,0.13051
441,0.1587,6.9900,0.12570
448,-0.0017,7.1100,0.12831
