x,L,M,S
189,-0.0004,0.6700,0.20840
196,-0.0035,0.8300,0.19695
203,-0.0157,1.0000,0.18786
210,0.0172,1.1900,0.18010
217,0.0069,1.3900,0.17239
224,0.0288,1.6000,0.16688
231,0.0114,1.8100,0.16208
238,0.0209,2.0400,0.15696
245,-0.0175,2.2600,0.15384
252,0.0263,2.5000,0.14991
259,0.0208,2.7300,0.14730
266,-0.0106,2.9600,0.14462
273,0.0016,3.2000,0.14207
280,-0.0008,3.4300,0.14052
287,-0.0199,3.6600,0.13848
294,-0.0091,3.8900,0.13700
301,0.0023,4.1200,0.13586
308,-0.0090,4.3400,0.13441
315,-0.0100,4.5600,0.13348
322,0.0133,4.7800,0.13268
329,0.0051,4.9900,0.13183
336,-0.0021,5.1900,0.13143
343,-0.0000,5.3900,0.13075
350,0.0201,5.5900,0.13026
357,-0.0040,5.7700,0.12998
364,0.0001,5.9600,0.12946
371,0.0043,6.1400,0.12908
378,-0.0084,6.3100,0.12879
385,-0.0005,6.4800,0.12882
392,0.0130,6.6500,0.12849
399,-0.0074,6.8000,0.12850
406,0.0073,6.9600,0.12856
413,-0.0017,7.1100,0.12831
420,-0.0106,7.2500,0.12823
427,-0.0026,7.3900,0.12823
434,0.0058,7.5300,0.12828
441,-0.0021,7.6600,0.12833
448,0.0089,7.7900,0.12834
