x,L,M,S
0,0.9918,7.9023,0.14123
30,0.9918,6.3775,0.15004
60,0.9918,5.1574,0.17732
91,0.9918,4.2877,0.21092
121,0.9918,3.5965,0.23941
152,0.9918,3.1827,0.25995
182,0.9918,3.0000,0.27597
213,0.9918,2.8764,0.28638
243,0.9918,2.7444,0.29192
273,0.9918,2.6284,0.29751
304,0.9918,2.5303,0.30553
334,0.9918,2.4425,0.31612
365,0.9918,2.3621,0.32828
395,0.9918,2.2879,0.34112
426,0.9918,2.2236,0.35425
456,0.9918,2.1684,0.36737
487,0.9918,2.1113,0.38003
517,0.9918,2.0470,0.39199
547,0.9918,1.9822,0.40358
578,0.9918,1.9225,0.41519
608,0.9918,1.8682,0.42686
639,0.9918,1.8192,0.43859
669,0.9918,1.7750,0.45033
