x,L,M,S
0,0.9497,8.4820,0.13400
30,0.9497,6.9984,0.14062
60,0.9497,5.5716,0.17179
91,0.9497,4.4941,0.20929
121,0.9497,3.7228,0.24323
152,0.9497,3.2403,0.26837
182,0.9497,2.9661,0.28481
213,0.9497,2.8089,0.29636
243,0.9497,2.6901,0.30505
273,0.9497,2.5785,0.31391
304,0.9497,2.4724,0.32400
334,0.9497,2.3818,0.33613
365,0.9497,2.2978,0.34908
395,0.9497,2.2138,0.36174
426,0.9497,2.1357,0.37410
456,0.9497,2.0675,0.38645
487,0.9497,2.0061,0.39924
517,0.9497,1.9495,0.41274
547,0.9497,1.8972,0.42656
578,0.9497,1.8490,0.44029
608,0.9497,1.8030,0.45398
639,0.9497,1.7575,0.46768
669,0.9497,1.7133,0.48129
