x,L,M,S
0,1.0000,49.1477,0.03790
1,1.0000,49.3166,0.03783
2,1.0000,49.4854,0.03776
3,1.0000,49.6543,0.03770
4,1.0000,49.8232,0.03763
5,1.0000,49.9921,0.03756
6,1.0000,50.1609,0.03749
7,1.0000,50.3298,0.03742
8,1.0000,50.4987,0.03735
9,1.0000,50.6676,0.03728
10,1.0000,50.8365,0.03722
11,1.0000,51.0053,0.03715
12,1.0000,51.1742,0.03708
13,1.0000,51.3431,0.03701
14,1.0000,51.5120,0.03694
15,1.0000,51.6510,0.03690
16,1.0000,51.7895,0.03687
17,1.0000,51.9272,0.03683
18,1.0000,52.0641,0.03680
19,1.0000,52.2002,0.03676
20,1.0000,52.3353,0.03673
21,1.0000,52.4695,0.03669
22,1.0000,52.6027,0.03666
23,1.0000,52.7349,0.03663
24,1.0000,52.8661,0.03660
25,1.0000,52.9963,0.03656
26,1.0000,53.1255,0.03653
27,1.0000,53.2537,0.03650
28,1.0000,53.3809,0.03647
29,1.0000,53.5072,0.03644
30,1.0000,53.6326,0.03641
31,1.0000,53.7571,0.03638
32,1.0000,53.8806,0.03636
33,1.0000,54.0031,0.03633
34,1.0000,54.1247,0.03630
35,1.0000,54.2454,0.03627
36,1.0000,54.3651,0.03625
37,1.0000,54.4839,0.03622
38,1.0000,54.6018,0.03619
39,1.0000,54.7187,0.03617
40,1.0000,54.8348,0.03614
41,1.0000,54.9499,0.03612
42,1.0000,55.0642,0.03609
43,1.0000,55.1777,0.03607
44,1.0000,55.2903,0.03604
45,1.0000,55.4021,0.03602
46,1.0000,55.5130,0.03600
47,1.0000,55.6230,0.03597
48,1.0000,55.7322,0.03595
49,1.0000,55.8406,0.03593
50,1.0000,55.9482,0.03591
51,1.0000,56.0549,0.03588
52,1.0000,56.1609,0.03586
53,1.0000,56.2660,0.03584
54,1.0000,56.3704,0.03582
55,1.0000,56.4739,0.03580
56,1.0000,56.5767,0.03578
57,1.0000,56.6788,0.03576
58,1.0000,56.7800,0.03574
59,1.0000,56.8806,0.03572
60,1.0000,56.9805,0.03570
61,1.0000,57.0796,0.03568
62,1.0000,57.1782,0.03566
63,1.0000,57.2761,0.03564
64,1.0000,57.3733,0.03562
65,1.0000,57.4699,0.03561
66,1.0000,57.5659,0.03559
67,1.0000,57.6613,0.03557
68,1.0000,57.7560,0.03555
69,1.0000,57.8501,0.03553
70,1.0000,57.9436,0.03552
71,1.0000,58.0365,0.03550
72,1.0000,58.1288,0.03548
73,1.0000,58.2206,0.03547
74,1.0000,58.3117,0.03545
75,1.0000,58.4022,0.03543
76,1.0000,58.4922,0.03542
77,1.0000,58.5816,0.03540
78,1.0000,58.6705,0.03539
79,1.0000,58.7588,0.03537
80,1.0000,58.8465,0.03536
81,1.0000,58.9337,0.03534
82,1.0000,59.0204,0.03533
83,1.0000,59.1066,0.03531
84,1.0000,59.1922,0.03530
85,1.0000,59.2773,0.03528
86,1.0000,59.3619,0.03527
87,1.0000,59.4459,0.03526
88,1.0000,59.5295,0.03524
89,1.0000,59.6126,0.03523
90,1.0000,59.6952,0.03521
91,1.0000,59.7773,0.03520
92,1.0000,59.8589,0.03519
93,1.0000,59.9401,0.03517
94,1.0000,60.0209,0.03516
95,1.0000,60.1011,0.03515
96,1.0000,60.1810,0.03514
97,1.0000,60.2603,0.03512
98,1.0000,60.3393,0.03511
99,1.0000,60.4178,0.03510
100,1.0000,60.4958,0.03509
101,1.0000,60.5734,0.03508
102,1.0000,60.6506,0.03506
103,1.0000,60.7273,0.03505
104,1.0000,60.8036,0.03504
105,1.0000,60.8795,0.03503
106,1.0000,60.9550,0.03502
107,1.0000,61.0301,0.03501
108,1.0000,61.1047,0.03500
109,1.0000,61.1789,0.03499
110,1.0000,61.2527,0.03497
111,1.0000,61.3261,0.03496
112,1.0000,61.3991,0.03495
113,1.0000,61.4717,0.03494
114,1.0000,61.5439,0.03493
115,1.0000,61.6156,0.03492
116,1.0000,61.6870,0.03491
117,1.0000,61.7580,0.03490
118,1.0000,61.8286,0.03489
119,1.0000,61.8988,0.03488
120,1.0000,61.9686,0.03487
121,1.0000,62.0381,0.03487
122,1.0000,62.1071,0.03486
123,1.0000,62.1758,0.03485
124,1.0000,62.2441,0.03484
125,1.0000,62.3120,0.03483
126,1.0000,62.3795,0.03482
