x,L,M,S
0,1.0000,49.8842,0.03795
1,1.0000,50.0601,0.03785
2,1.0000,50.2359,0.03775
3,1.0000,50.4118,0.03764
4,1.0000,50.5876,0.03754
5,1.0000,50.7635,0.03744
6,1.0000,50.9393,0.03734
7,1.0000,51.1152,0.03723
8,1.0000,51.2910,0.03713
9,1.0000,51.4669,0.03703
10,1.0000,51.6427,0.03693
11,1.0000,51.8186,0.03682
12,1.0000,51.9944,0.03672
13,1.0000,52.1702,0.03662
14,1.0000,52.3461,0.03652
15,1.0000,52.4978,0.03645
16,1.0000,52.6488,0.03639
17,1.0000,52.7990,0.03633
18,1.0000,52.9483,0.03627
19,1.0000,53.0967,0.03621
20,1.0000,53.2441,0.03615
21,1.0000,53.3905,0.03609
22,1.0000,53.5360,0.03603
23,1.0000,53.6805,0.03597
24,1.0000,53.8239,0.03592
25,1.0000,53.9664,0.03586
26,1.0000,54.1079,0.03581
27,1.0000,54.2485,0.03575
28,1.0000,54.3881,0.03570
29,1.0000,54.5268,0.03565
30,1.0000,54.6645,0.03559
31,1.0000,54.8012,0.03554
32,1.0000,54.9368,0.03549
33,1.0000,55.0714,0.03544
34,1.0000,55.2049,0.03539
35,1.0000,55.3374,0.03534
36,1.0000,55.4688,0.03529
37,1.0000,55.5992,0.03524
38,1.0000,55.7285,0.03520
39,1.0000,55.8568,0.03515
40,1.0000,55.9841,0.03510
41,1.0000,56.1104,0.03506
42,1.0000,56.2357,0.03501
43,1.0000,56.3599,0.03496
44,1.0000,56.4833,0.03492
45,1.0000,56.6056,0.03488
46,1.0000,56.7269,0.03483
47,1.0000,56.8472,0.03479
48,1.0000,56.9666,0.03475
49,1.0000,57.0851,0.03470
50,1.0000,57.2026,0.03466
51,1.0000,57.3192,0.03462
52,1.0000,57.4349,0.03458
53,1.0000,57.5497,0.03454
54,1.0000,57.6637,0.03450
55,1.0000,57.7767,0.03446
56,1.0000,57.8889,0.03442
57,1.0000,58.0003,0.03438
58,1.0000,58.1109,0.03434
59,1.0000,58.2207,0.03431
60,1.0000,58.3299,0.03427
61,1.0000,58.4384,0.03423
62,1.0000,58.5463,0.03420
63,1.0000,58.6536,0.03416
64,1.0000,58.7603,0.03412
65,1.0000,58.8664,0.03409
66,1.0000,58.9718,0.03405
67,1.0000,59.0766,0.03402
68,1.0000,59.1808,0.03398
69,1.0000,59.2843,0.03395
70,1.0000,59.3872,0.03392
71,1.0000,59.4894,0.03388
72,1.0000,59.5910,0.03385
73,1.0000,59.6920,0.03382
74,1.0000,59.7923,0.03379
75,1.0000,59.8920,0.03375
76,1.0000,59.9910,0.03372
77,1.0000,60.0894,0.03369
78,1.0000,60.1872,0.03366
79,1.0000,60.2843,0.03363
80,1.0000,60.3808,0.03360
81,1.0000,60.4767,0.03357
82,1.0000,60.5719,0.03354
83,1.0000,60.6665,0.03351
84,1.0000,60.7605,0.03348
85,1.0000,60.8539,0.03345
86,1.0000,60.9466,0.03342
87,1.0000,61.0388,0.03340
88,1.0000,61.1303,0.03337
89,1.0000,61.2212,0.03334
90,1.0000,61.3115,0.03331
91,1.0000,61.4013,0.03329
92,1.0000,61.4904,0.03326
93,1.0000,61.5790,0.03323
94,1.0000,61.6670,0.03321
95,1.0000,61.7543,0.03318
96,1.0000,61.8411,0.03316
97,1.0000,61.9274,0.03313
98,1.0000,62.0130,0.03311
99,1.0000,62.0981,0.03308
100,1.0000,62.1826,0.03306
101,1.0000,62.2665,0.03303
102,1.0000,62.3499,0.03301
103,1.0000,62.4327,0.03298
104,1.0000,62.5149,0.03296
105,1.0000,62.5966,0.03294
106,1.0000,62.6778,0.03291
107,1.0000,62.7584,0.03289
108,1.0000,62.8384,0.03287
109,1.0000,62.9180,0.03284
110,1.0000,62.9969,0.03282
111,1.0000,63.0754,0.03280
112,1.0000,63.1533,0.03278
113,1.0000,63.2307,0.03276
114,1.0000,63.3076,0.03273
115,1.0000,63.3839,0.03271
116,1.0000,63.4598,0.03269
117,1.0000,63.5351,0.03267
118,1.0000,63.6099,0.03265
119,1.0000,63.6842,0.03263
120,1.0000,63.7580,0.03261
121,1.0000,63.8313,0.03259
122,1.0000,63.9041,0.03257
123,1.0000,63.9765,0.03255
124,1.0000,64.0483,0.03253
125,1.0000,64.1197,0.03251
126,1.0000,64.1906,0.03249
127,1.0000,64.2610,0.03247
128,1.0000,64.3310,0.03245
129,1.0000,64.4006,0.03243
130,1.0000,64.4697,0.03241
131,1.0000,64.5383,0.03239
132,1.0000,64.6066,0.03238
133,1.0000,64.6744,0.03236
134,1.0000,64.7418,0.03234
135,1.0000,64.8088,0.03232
136,1.0000,64.8755,0.03230
137,1.0000,64.9417,0.03229
138,1.0000,65.0075,0.03227
139,1.0000,65.0730,0.03225
140,1.0000,65.1380,0.03223
141,1.0000,65.2027,0.03222
142,1.0000,65.2671,0.03220
143,1.0000,65.3310,0.03218
144,1.0000,65.3946,0.03217
145,1.0000,65.4579,0.03215
146,1.0000,65.5208,0.03214
147,1.0000,65.5834,0.03212
148,1.0000,65.6456,0.03210
149,1.0000,65.7075,0.03209
150,1.0000,65.7690,0.03207
151,1.0000,65.8303,0.03206
152,1.0000,65.8912,0.03204
153,1.0000,65.9518,0.03203
154,1.0000,66.0121,0.03201
155,1.0000,66.0721,0.03200
156,1.0000,66.1317,0.03198
157,1.0000,66.1911,0.03197
158,1.0000,66.2502,0.03196
159,1.0000,66.3089,0.03194
160,1.0000,66.3674,0.03193
161,1.0000,66.4256,0.03191
162,1.0000,66.4835,0.03190
163,1.0000,66.5412,0.03189
164,1.0000,66.5985,0.03187
165,1.0000,66.6556,0.03186
166,1.0000,66.7125,0.03185
167,1.0000,66.7691,0.03183
168,1.0000,66.8254,0.03182
169,1.0000,66.8815,0.03181
170,1.0000,66.9373,0.03180
171,1.0000,66.9930,0.03179
172,1.0000,67.0483,0.03177
173,1.0000,67.1035,0.03176
174,1.0000,67.1584,0.03175
175,1.0000,67.2132,0.03174
176,1.0000,67.2677,0.03173
177,1.0000,67.3219,0.03171
178,1.0000,67.3760,0.03170
179,1.0000,67.4299,0.03169
180,1.0000,67.4836,0.03168
181,1.0000,67.5371,0.03167
182,1.0000,67.5904,0.03166
183,1.0000,67.6435,0.03165
184,1.0000,67.6964,0.03164
185,1.0000,67.7491,0.03163
186,1.0000,67.8017,0.03162
187,1.0000,67.8541,0.03161
188,1.0000,67.9062,0.03160
189,1.0000,67.9583,0.03159
190,1.0000,68.0101,0.03158
191,1.0000,68.0618,0.03157
192,1.0000,68.1133,0.03156
193,1.0000,68.1647,0.03155
194,1.0000,68.2158,0.03154
195,1.0000,68.2669,0.03153
196,1.0000,68.3177,0.03152
197,1.0000,68.3685,0.03152
198,1.0000,68.4190,0.03151
199,1.0000,68.4695,0.03150
200,1.0000,68.5198,0.03149
201,1.0000,68.5699,0.03148
202,1.0000,68.6199,0.03147
203,1.0000,68.6698,0.03147
204,1.0000,68.7195,0.03146
205,1.0000,68.7691,0.03145
206,1.0000,68.8186,0.03144
207,1.0000,68.8679,0.03144
208,1.0000,68.9171,0.03143
209,1.0000,68.9662,0.03142
210,1.0000,69.0152,0.03141
211,1.0000,69.0641,0.03141
212,1.0000,69.1128,0.03140
213,1.0000,69.1615,0.03139
214,1.0000,69.2100,0.03139
215,1.0000,69.2584,0.03138
216,1.0000,69.3067,0.03137
217,1.0000,69.3549,0.03137
218,1.0000,69.4031,0.03136
219,1.0000,69.4511,0.03136
220,1.0000,69.4990,0.03135
221,1.0000,69.5468,0.03134
222,1.0000,69.5945,0.03134
223,1.0000,69.6421,0.03133
224,1.0000,69.6896,0.03133
225,1.0000,69.7370,0.03132
226,1.0000,69.7844,0.03132
227,1.0000,69.8316,0.03131
228,1.0000,69.8787,0.03131
229,1.0000,69.9258,0.03130
230,1.0000,69.9728,0.03130
231,1.0000,70.0197,0.03129
232,1.0000,70.0665,0.03129
233,1.0000,70.1132,0.03128
234,1.0000,70.1599,0.03128
235,1.0000,70.2064,0.03127
236,1.0000,70.2529,0.03127
237,1.0000,70.2994,0.03126
238,1.0000,70.3457,0.03126
239,1.0000,70.3920,0.03126
240,1.0000,70.4382,0.03125
241,1.0000,70.4843,0.03125
242,1.0000,70.5304,0.03125
243,1.0000,70.5764,0.03124
244,1.0000,70.6224,0.03124
245,1.0000,70.6683,0.03123
246,1.0000,70.7141,0.03123
247,1.0000,70.7598,0.03123
248,1.0000,70.8055,0.03122
249,1.0000,70.8511,0.03122
250,1.0000,70.8967,0.03122
251,1.0000,70.9422,0.03122
252,1.0000,70.9876,0.03121
253,1.0000,71.0330,0.03121
254,1.0000,71.0783,0.03121
