x,L,M,S
0,0.7781,1279.4834,0.21479
28,0.7781,1411.1075,0.19384
30,0.3294,2314.2285,0.17612
60,0.7781,1118.0098,0.19766
91,0.7781,984.8825,0.20995
121,0.7781,888.9803,0.22671
152,0.7781,801.3910,0.24596
182,0.7781,744.3023,0.26515
213,0.7781,710.6923,0.28409
243,0.7781,672.6072,0.30106
273,0.7781,644.6032,0.31676
304,0.7781,633.2166,0.33208
334,0.7781,631.7383,0.34627
365,0.7762,1027.9459,0.28011
395,0.7864,1019.6870,0.28705
426,0.7913,1016.4898,0.29343
456,0.7922,1017.5335,0.29961
487,0.7902,1017.2241,0.30592
517,0.7866,1012.8511,0.31201
547,0.7827,1007.2711,0.31824
578,0.7795,1001.8324,0.32415
608,0.7771,993.3265,0.33014
639,0.7755,980.7096,0.33605
669,0.7743,967.2057,0.34166
