x,L,M,S
0,1.3828,1423.0783,0.22048
28,0.7241,1596.3470,0.19296
30,0.6464,2592.0761,0.17025
60,0.6590,1215.3989,0.19591
91,0.7003,1017.0488,0.20965
121,0.7419,921.6249,0.22790
152,0.7668,822.1842,0.24854
182,0.7688,756.5306,0.26783
213,0.7624,715.6257,0.28677
243,0.7620,684.7459,0.30439
273,0.7659,658.5809,0.32154
304,0.7713,643.4374,0.33882
334,0.7761,639.4743,0.35502
365,0.7399,1037.0541,0.29479
395,0.7597,1014.1850,0.30285
426,0.7771,1000.5821,0.30864
456,0.7929,999.4661,0.31290
487,0.8078,1000.9680,0.31615
517,0.8210,998.4215,0.31858
547,0.8335,992.8040,0.32058
578,0.8447,986.9799,0.32222
608,0.8554,981.7965,0.32377
639,0.8655,978.4016,0.32529
669,0.8748,976.3696,0.32673
